Time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Magnetometer X (uTesla), Magnetometer Y (uTesla)  , Magnetometer Z (uTesla),Gyroscope X (radians/s), Gyroscope Y (radians/s), Gyroscope Z (radians/s)
2019-05-26-01:47:01.938939,0.297,-0.160,10.126,-5.800,-12.600,-3.700,-0.805,2.812,0.078
2019-05-26-01:47:02.044782,0.292,-0.153,10.150,-5.200,-11.700,-5.300,-1.617,2.781,-0.227
2019-05-26-01:47:02.150383,0.292,-0.163,10.138,-6.100,-12.900,-5.100,-1.430,2.852,-0.180
2019-05-26-01:47:02.256072,0.285,-0.156,10.102,-5.700,-12.200,-5.700,-1.086,2.883,-0.055
2019-05-26-01:47:02.364965,0.287,-0.151,10.129,-6.300,-13.300,-5.500,-0.953,3.031,0.039
2019-05-26-01:47:02.474617,0.301,-0.153,10.110,-6.200,-12.800,-3.900,-1.211,2.820,-0.188
2019-05-26-01:47:02.584333,0.287,-0.151,10.124,-6.300,-11.900,-4.300,-1.062,2.625,-0.047
2019-05-26-01:47:02.694206,0.280,-0.156,10.098,-6.000,-12.200,-4.400,-1.016,2.820,-0.164
2019-05-26-01:47:02.803862,0.301,-0.156,10.141,-5.900,-12.200,-5.000,-0.828,2.852,-0.227
2019-05-26-01:47:02.913686,0.290,-0.165,10.134,-6.800,-12.200,-4.000,-0.562,2.906,-0.234
2019-05-26-01:47:03.023773,0.290,-0.163,10.124,-5.300,-13.500,-4.100,-0.969,2.820,-0.031
2019-05-26-01:47:03.133449,0.292,-0.144,10.150,-6.700,-11.600,-4.900,-1.047,2.742,-0.023
2019-05-26-01:47:03.243031,0.297,-0.153,10.114,-5.400,-12.600,-5.500,-0.789,2.812,0.078
2019-05-26-01:47:03.352607,0.275,-0.144,10.124,-6.600,-11.900,-4.100,-1.203,2.648,-0.008
2019-05-26-01:47:03.462274,0.294,-0.156,10.124,-5.600,-12.800,-4.600,-1.047,2.672,-0.078
2019-05-26-01:47:03.572221,0.294,-0.165,10.129,-6.000,-12.600,-5.100,-0.984,2.797,-0.188
2019-05-26-01:47:03.681926,0.287,-0.148,10.102,-6.300,-12.100,-4.000,-1.109,2.547,-0.367
2019-05-26-01:47:03.791456,0.282,-0.158,10.102,-5.900,-12.500,-2.300,-1.086,2.867,-0.117
2019-05-26-01:47:03.901326,0.290,-0.134,10.110,-6.700,-12.200,-3.400,-1.094,2.719,-0.180
2019-05-26-01:47:04.010948,0.290,-0.151,10.119,-5.300,-12.400,-5.300,-0.875,2.695,-0.070
2019-05-26-01:47:04.120678,0.294,-0.146,10.117,-6.500,-11.800,-3.700,-0.578,2.570,-0.078
2019-05-26-01:47:04.230645,0.294,-0.153,10.100,-5.800,-12.800,-4.800,-1.180,2.930,-0.023
2019-05-26-01:47:04.340349,0.299,-0.148,10.131,-5.800,-12.000,-4.100,-1.250,2.625,-0.227
2019-05-26-01:47:04.450064,0.299,-0.160,10.138,-5.000,-13.700,-4.000,-1.258,2.797,-0.250
2019-05-26-01:47:04.559776,0.287,-0.153,10.153,-5.300,-13.200,-5.000,-1.266,2.562,-0.297
2019-05-26-01:47:04.669367,0.292,-0.153,10.102,-5.900,-12.800,-5.400,-0.938,2.656,-0.234
2019-05-26-01:47:04.778891,0.287,-0.148,10.119,-5.600,-12.700,-4.200,-1.086,2.828,-0.047
2019-05-26-01:47:04.888478,0.287,-0.153,10.119,-5.300,-12.500,-6.700,-1.070,2.547,-0.188
2019-05-26-01:47:04.998004,0.285,-0.153,10.141,-6.400,-11.800,-3.700,-1.180,2.781,-0.125
2019-05-26-01:47:05.107973,0.304,-0.139,10.110,-5.700,-12.100,-5.600,-1.094,2.727,0.133
2019-05-26-01:47:05.217668,0.287,-0.141,10.102,-4.800,-11.400,-5.100,-0.977,2.734,0.039
2019-05-26-01:47:05.327328,0.297,-0.158,10.122,-6.100,-12.200,-4.500,-1.062,2.734,-0.023
2019-05-26-01:47:05.437163,0.290,-0.151,10.119,-5.700,-13.500,-5.100,-1.156,2.656,-0.227
2019-05-26-01:47:05.546901,0.294,-0.163,10.112,-5.300,-12.100,-5.600,-1.086,2.648,-0.180
2019-05-26-01:47:05.656517,0.299,-0.160,10.117,-6.200,-12.200,-5.100,-0.938,2.656,-0.078
2019-05-26-01:47:05.766161,0.304,-0.153,10.119,-4.600,-12.200,-5.300,-1.281,2.539,-0.070
2019-05-26-01:47:05.875800,0.285,-0.146,10.117,-5.300,-13.000,-6.100,-1.305,2.711,-0.047
2019-05-26-01:47:05.985351,0.285,-0.148,10.129,-6.200,-12.400,-4.900,-1.078,2.500,0.055
2019-05-26-01:47:06.095061,0.294,-0.141,10.122,-4.400,-12.400,-3.300,-0.922,2.867,-0.094
2019-05-26-01:47:06.204678,0.287,-0.167,10.119,-5.100,-13.100,-5.600,-0.945,2.477,-0.070
2019-05-26-01:47:06.314611,0.285,-0.170,10.134,-6.400,-11.700,-5.300,-0.766,2.484,-0.078
2019-05-26-01:47:06.424258,0.304,-0.163,10.122,-5.300,-11.400,-4.800,-1.180,2.680,-0.227
2019-05-26-01:47:06.534005,0.294,-0.153,10.105,-5.300,-11.600,-4.700,-1.047,2.766,-0.344
2019-05-26-01:47:06.644074,0.297,-0.146,10.131,-5.400,-12.800,-4.500,-1.109,2.844,-0.477
2019-05-26-01:47:06.755596,0.309,-0.134,10.124,-5.500,-12.000,-4.100,-0.969,2.828,-0.367
2019-05-26-01:47:06.865175,0.294,-0.156,10.129,-5.300,-12.700,-4.500,-1.250,2.609,-0.023
2019-05-26-01:47:06.974749,0.297,-0.151,10.143,-6.000,-12.600,-4.600,-1.016,2.734,-0.250
2019-05-26-01:47:07.084672,0.285,-0.167,10.141,-5.400,-12.800,-4.600,-0.938,2.711,-0.148
2019-05-26-01:47:07.194276,0.290,-0.167,10.117,-6.500,-12.400,-4.900,-1.070,2.570,-0.008
2019-05-26-01:47:07.303877,0.301,-0.151,10.136,-5.600,-13.000,-4.900,-1.109,2.562,-0.055
2019-05-26-01:47:07.416054,0.294,-0.165,10.112,-5.800,-12.500,-3.900,-0.922,2.406,0.031
2019-05-26-01:47:07.525914,0.306,-0.153,10.122,-6.500,-12.600,-5.600,-1.070,2.633,-0.125
2019-05-26-01:47:07.635718,0.299,-0.141,10.119,-5.600,-12.300,-4.800,-0.461,3.062,-0.070
2019-05-26-01:47:07.745288,0.297,-0.158,10.126,-5.600,-12.400,-4.200,-0.727,2.719,-0.383
2019-05-26-01:47:07.855194,0.292,-0.139,10.136,-6.100,-11.300,-3.200,-0.891,2.758,-0.211
2019-05-26-01:47:07.965061,0.280,-0.148,10.136,-4.900,-12.500,-4.000,-0.953,3.016,-0.188
2019-05-26-01:47:08.074849,0.285,-0.148,10.136,-6.600,-12.400,-3.700,-1.062,2.711,-0.180
2019-05-26-01:47:08.184468,0.404,-0.086,10.179,-5.000,-13.200,-4.100,-1.008,2.594,-0.070
2019-05-26-01:47:08.294223,0.306,-0.158,10.186,-5.500,-12.100,-4.900,-0.969,2.781,-0.188
2019-05-26-01:47:08.403894,0.280,-0.163,10.119,-5.300,-12.300,-4.300,-1.227,2.781,-0.188
