Time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Magnetometer X (uTesla), Magnetometer Y (uTesla)  , Magnetometer Z (uTesla),Gyroscope X (radians/s), Gyroscope Y (radians/s), Gyroscope Z (radians/s)
2019-06-09-14:58:55.932705,0.723,-0.294,10.193,21.100,40.100,105.200,-0.328,2.672,0.336
2019-06-09-14:58:55.948508,0.634,-0.292,10.138,14.500,9.100,66.100,-0.469,2.836,0.414
2019-06-09-14:58:55.964170,0.663,-0.292,10.179,16.100,14.300,76.000,-0.414,2.969,0.234
2019-06-09-14:58:55.979808,0.684,-0.306,10.105,24.700,80.200,173.400,-0.852,2.930,0.281
2019-06-09-14:58:55.995484,0.651,-0.299,10.153,24.400,84.600,174.600,-0.391,2.945,0.445
2019-06-09-14:58:56.011100,0.644,-0.349,10.055,23.100,112.500,233.400,-0.211,3.016,0.445
2019-06-09-14:58:56.026718,0.656,-0.287,10.119,23.100,117.800,239.900,-0.922,2.984,0.414
2019-06-09-14:58:56.042331,0.708,-0.316,10.122,-16.000,18.500,145.000,-0.633,2.984,0.484
2019-06-09-14:58:56.057939,0.689,-0.345,10.093,3.500,-30.100,31.000,-0.680,2.820,0.289
2019-06-09-14:58:56.073562,0.648,-0.309,10.241,3.200,-30.300,29.900,-0.461,2.734,0.352
2019-06-09-14:58:56.089172,0.663,-0.325,10.031,12.000,138.200,311.100,-0.516,2.969,0.555
2019-06-09-14:58:56.104789,0.660,-0.273,10.081,13.800,137.700,310.300,-0.734,3.273,0.539
2019-06-09-14:58:56.120447,0.644,-0.316,10.069,3.300,-28.900,30.000,-0.734,2.930,0.414
2019-06-09-14:58:56.136101,0.701,-0.330,10.208,1.000,-32.800,23.800,-0.812,2.883,0.438
2019-06-09-14:58:56.151716,0.711,-0.318,10.165,2.400,-31.100,24.100,-0.500,3.133,0.367
2019-06-09-14:58:56.167344,0.668,-0.342,10.177,2.400,-32.500,22.100,-0.586,2.875,0.445
2019-06-09-14:58:56.182989,0.644,-0.299,10.098,3.200,-30.200,22.700,-0.930,3.102,0.328
2019-06-09-14:58:56.198620,0.641,-0.246,10.045,1.500,-34.500,19.600,-0.695,3.047,0.523
2019-06-09-14:58:56.214250,0.684,-0.333,10.229,14.300,4.900,64.900,-1.133,2.906,0.625
2019-06-09-14:58:56.229882,0.644,-0.352,10.019,17.900,138.300,305.200,-0.781,2.883,0.375
2019-06-09-14:58:56.245573,0.656,-0.256,10.059,-39.200,-23.400,106.400,-0.172,2.727,0.469
2019-06-09-14:58:56.261205,0.555,-0.304,9.976,-23.700,89.500,304.200,-0.445,2.672,0.391
2019-06-09-14:58:56.276835,0.677,-0.373,10.081,-13.700,85.700,280.800,-0.422,2.969,0.469
2019-06-09-14:58:56.292461,0.629,-0.371,10.114,-35.700,-18.900,107.400,-0.289,2.711,0.195
2019-06-09-14:58:56.308131,0.663,-0.359,10.138,-38.300,-27.100,97.300,-0.469,2.922,0.672
2019-06-09-14:58:56.327471,0.675,-0.297,10.062,24.400,118.500,251.800,-0.883,3.203,0.344
2019-06-09-14:58:56.346895,0.605,-0.282,9.992,-8.600,93.800,285.200,-0.688,2.820,0.414
2019-06-09-14:58:56.366409,0.663,-0.237,10.031,8.000,92.000,233.000,-0.398,2.773,0.648
2019-06-09-14:58:56.385993,0.605,-0.333,9.968,-32.200,33.200,232.900,-0.531,2.844,0.602
2019-06-09-14:58:56.405445,0.591,-0.280,9.930,-17.800,107.900,324.800,-0.773,2.789,0.234
2019-06-09-14:58:56.424972,0.610,-0.301,10.086,-37.400,-17.400,110.600,-1.031,2.664,0.602
2019-06-09-14:58:56.444387,0.653,-0.313,10.071,23.200,61.100,135.200,-0.594,2.820,0.258
2019-06-09-14:58:56.463795,0.646,-0.285,10.045,13.800,3.200,62.300,-0.766,3.156,0.391
2019-06-09-14:58:56.483228,0.639,-0.230,10.165,18.200,15.100,75.600,-0.492,2.906,0.445
2019-06-09-14:58:56.503209,0.641,-0.270,10.031,13.100,133.000,302.800,-0.680,2.648,0.484
2019-06-09-14:58:56.522926,0.694,-0.354,10.107,-4.800,-39.600,27.900,-0.539,2.883,0.367
2019-06-09-14:58:56.542402,0.646,-0.321,10.165,16.300,15.300,75.200,-0.836,2.797,0.469
2019-06-09-14:58:56.561852,0.682,-0.306,10.177,-34.600,-32.800,71.100,-0.711,2.812,0.641
2019-06-09-14:58:56.581375,0.627,-0.304,10.071,-27.400,80.300,296.100,-0.594,2.969,0.328
2019-06-09-14:58:56.600803,0.663,-0.311,10.143,19.400,27.200,91.400,-0.539,2.969,0.242
2019-06-09-14:58:56.620271,0.675,-0.261,10.160,19.700,27.600,89.600,-0.539,2.969,0.367
2019-06-09-14:58:56.639737,0.670,-0.266,10.148,20.000,111.300,244.300,-0.680,2.789,0.578
2019-06-09-14:58:56.659154,0.665,-0.251,10.102,21.000,33.500,101.100,-0.656,2.875,0.602
2019-06-09-14:58:56.678562,0.687,-0.304,10.119,23.700,40.600,114.300,-0.164,3.102,0.484
2019-06-09-14:58:56.699970,0.625,-0.280,10.177,-9.800,-43.600,22.400,-0.656,2.844,0.352
2019-06-09-14:58:56.719730,0.598,-0.333,10.167,-2.500,-38.000,20.900,-0.609,2.578,0.445
2019-06-09-14:58:56.739201,0.627,-0.280,10.119,-41.300,-16.300,126.700,-0.664,2.797,0.508
2019-06-09-14:58:56.758609,0.660,-0.244,10.098,-19.600,-47.700,21.100,-0.828,2.984,0.547
2019-06-09-14:58:56.778016,0.586,-0.263,9.961,-25.500,94.300,312.800,-0.414,2.930,0.211
2019-06-09-14:58:56.797419,0.668,-0.313,10.016,-13.800,-46.800,17.600,-0.734,2.844,0.617
2019-06-09-14:58:56.816831,0.648,-0.313,10.119,-38.000,-35.100,77.400,-1.266,2.945,0.391
2019-06-09-14:58:56.836284,0.627,-0.292,10.150,-40.600,-21.300,113.100,-0.586,2.617,0.242
2019-06-09-14:58:56.855753,0.682,-0.244,10.091,8.000,-19.700,37.300,-0.766,3.008,0.484
2019-06-09-14:58:56.875286,0.658,-0.278,10.016,19.000,126.300,277.900,-0.648,3.070,0.547
2019-06-09-14:58:56.894789,0.620,-0.273,10.012,16.600,138.000,302.100,-0.484,2.898,0.508
2019-06-09-14:58:56.914637,0.651,-0.290,10.033,-15.400,-49.700,19.800,-0.578,3.180,0.445
2019-06-09-14:58:56.934376,0.692,-0.239,10.059,-14.500,-50.800,14.900,-0.609,2.875,0.367
2019-06-09-14:58:56.953860,0.660,-0.258,10.227,11.800,-17.900,36.600,-0.547,2.844,0.398
2019-06-09-14:58:56.973291,0.632,-0.282,10.086,12.400,-16.900,37.700,-0.414,2.617,0.648
2019-06-09-14:58:56.992719,0.665,-0.266,10.038,18.000,0.500,53.800,-0.695,3.297,0.422
2019-06-09-14:58:57.012131,0.581,-0.306,10.055,-35.100,38.200,244.900,-0.422,3.141,0.414
2019-06-09-14:58:57.031727,0.668,-0.280,10.129,23.200,30.000,92.600,-0.438,2.875,0.617
2019-06-09-14:58:57.051262,0.668,-0.306,10.019,25.600,41.100,107.500,-0.359,3.008,0.531
2019-06-09-14:58:57.070697,0.668,-0.294,10.174,-26.500,-51.700,30.100,-0.609,2.961,0.625
2019-06-09-14:58:57.090109,0.622,-0.299,10.057,-12.600,117.800,340.300,-0.680,2.773,0.602
2019-06-09-14:58:57.109608,0.677,-0.325,10.081,-21.000,-53.800,19.100,-0.516,2.789,0.336
2019-06-09-14:58:57.129101,0.668,-0.347,10.100,17.200,0.400,54.300,-0.625,3.047,0.594
2019-06-09-14:58:57.148631,0.665,-0.318,10.153,-32.700,-50.300,40.800,-0.023,2.805,0.453
2019-06-09-14:58:57.168064,0.692,-0.299,10.172,10.200,-21.200,33.000,-0.328,2.836,0.555
2019-06-09-14:58:57.187580,0.675,-0.359,10.057,26.200,117.500,245.800,-0.594,2.844,0.555
2019-06-09-14:58:57.206995,0.629,-0.333,10.064,8.200,119.200,293.000,-0.875,2.844,0.352
2019-06-09-14:58:57.226414,0.663,-0.273,10.179,19.400,52.300,136.900,-0.641,2.797,0.414
2019-06-09-14:58:57.245931,0.672,-0.347,10.083,-20.300,-40.100,47.200,-0.422,2.930,0.547
2019-06-09-14:58:57.265366,0.644,-0.311,10.081,-29.500,-52.500,39.700,-0.703,2.906,0.375
2019-06-09-14:58:57.284795,0.663,-0.215,10.124,2.200,-45.800,14.100,-0.445,3.016,0.438
2019-06-09-14:58:57.304325,0.610,-0.256,10.019,18.800,133.300,286.400,-0.656,2.820,0.641
2019-06-09-14:58:57.323760,0.648,-0.318,10.091,12.600,-3.300,51.200,-0.656,2.945,0.445
2019-06-09-14:58:57.343218,0.644,-0.292,10.033,21.200,127.000,268.000,-0.352,2.758,0.305
2019-06-09-14:58:57.362775,0.653,-0.268,10.107,20.100,47.900,115.800,-0.758,2.875,0.547
2019-06-09-14:58:57.382346,0.644,-0.301,10.088,10.600,-6.600,52.000,-0.508,2.836,0.781
2019-06-09-14:58:57.401815,0.660,-0.275,10.129,11.200,-5.900,53.900,-0.625,3.055,0.492
2019-06-09-14:58:57.421332,0.622,-0.273,10.076,-29.800,-38.900,48.900,-0.500,3.070,0.484
2019-06-09-14:58:57.440756,0.601,-0.278,9.899,-30.300,70.800,287.600,-0.875,2.703,0.422
2019-06-09-14:58:57.460232,0.577,-0.311,10.114,-39.700,-26.000,96.800,-0.492,3.297,0.555
2019-06-09-14:58:57.479652,0.613,-0.261,9.949,-18.000,112.200,325.100,-0.344,2.648,0.508
2019-06-09-14:58:57.499049,0.641,-0.263,9.923,-16.400,114.700,324.500,-0.516,2.703,0.594
2019-06-09-14:58:57.518464,0.677,-0.273,9.961,-23.200,117.000,342.100,-0.570,2.812,0.336
2019-06-09-14:58:57.537913,0.692,-0.333,10.169,-45.000,23.800,217.600,-0.664,2.859,0.422
2019-06-09-14:58:57.557368,0.646,-0.337,10.138,29.200,125.900,250.300,-0.680,2.836,0.469
2019-06-09-14:58:57.576771,0.668,-0.354,10.050,-2.300,137.000,334.000,-0.461,2.820,0.461
2019-06-09-14:58:57.596171,0.668,-0.287,10.146,1.500,-28.500,32.000,-0.836,2.672,0.602
2019-06-09-14:58:57.615649,0.680,-0.380,10.122,4.100,-24.200,33.800,-0.805,2.820,0.484
2019-06-09-14:58:57.635128,0.658,-0.357,10.136,-25.100,-43.700,33.600,-0.875,2.750,0.469
2019-06-09-14:58:57.654593,0.639,-0.299,10.007,-14.500,117.600,328.600,-0.773,2.773,0.570
2019-06-09-14:58:57.674124,0.682,-0.340,10.160,-38.300,-19.500,132.900,-0.547,2.883,0.422
2019-06-09-14:58:57.693554,0.672,-0.328,10.105,-36.700,0.400,175.100,-0.617,2.820,0.523
2019-06-09-14:58:57.713516,0.653,-0.325,10.119,25.700,106.900,221.500,-0.750,2.664,0.641
2019-06-09-14:58:57.733030,0.677,-0.297,10.110,28.400,103.300,217.200,-0.703,2.922,0.242
2019-06-09-14:58:57.752617,0.660,-0.261,10.035,29.900,92.300,197.000,-0.344,2.945,0.305
2019-06-09-14:58:57.772379,0.670,-0.273,10.119,-3.500,-47.200,13.600,-0.523,3.047,0.555
2019-06-09-14:58:57.791871,0.622,-0.309,9.992,-18.200,101.400,325.700,-0.656,2.625,0.352
2019-06-09-14:58:57.811491,0.663,-0.280,9.935,-17.000,104.000,328.500,-0.758,2.969,0.336
2019-06-09-14:58:57.831025,0.641,-0.328,10.086,-25.500,-51.100,34.300,-0.414,2.930,0.422
2019-06-09-14:58:57.850528,0.694,-0.282,10.074,28.700,109.400,232.900,-0.570,2.758,0.688
2019-06-09-14:58:57.870132,0.663,-0.290,10.079,28.800,109.500,233.400,-0.672,3.250,0.453
2019-06-09-14:58:57.889670,0.656,-0.263,10.000,28.400,108.900,231.800,-0.305,2.961,0.461
