Time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Magnetometer X (uTesla), Magnetometer Y (uTesla)  , Magnetometer Z (uTesla),Gyroscope X (radians/s), Gyroscope Y (radians/s), Gyroscope Z (radians/s)
2019-06-09-14:50:49.941293,0.663,-0.330,10.112,21.800,130.400,45.700,-0.695,3.047,0.617
2019-06-09-14:50:49.957069,0.668,-0.311,10.119,21.900,130.400,45.900,-0.711,3.016,0.312
2019-06-09-14:50:49.972694,0.615,-0.280,10.024,21.900,131.300,45.700,-0.172,2.688,0.211
2019-06-09-14:50:49.988315,0.646,-0.263,10.040,22.300,131.800,45.800,-0.758,2.898,0.266
2019-06-09-14:50:50.003996,0.634,-0.345,10.138,21.100,130.300,44.600,-0.516,2.945,0.469
2019-06-09-14:50:50.019645,0.656,-0.318,10.081,21.800,131.800,46.400,-0.320,2.875,0.219
2019-06-09-14:50:50.035325,0.634,-0.292,10.079,22.100,130.900,44.800,-0.398,2.859,0.531
2019-06-09-14:50:50.050973,0.651,-0.287,10.074,22.800,131.000,44.600,-0.422,2.820,0.375
2019-06-09-14:50:50.066657,0.663,-0.301,10.057,21.100,131.500,45.400,-0.539,2.992,0.422
2019-06-09-14:50:50.082338,0.641,-0.304,10.114,21.700,130.000,45.000,-0.617,3.031,0.508
2019-06-09-14:50:50.097980,0.677,-0.306,10.079,21.700,131.300,44.700,-0.445,2.859,0.445
2019-06-09-14:50:50.113599,0.653,-0.287,10.088,21.500,131.200,45.700,-0.227,2.883,0.578
2019-06-09-14:50:50.129219,0.658,-0.278,10.083,21.600,131.200,44.900,-0.375,2.930,0.312
2019-06-09-14:50:50.144832,0.653,-0.318,10.105,21.700,131.800,44.400,-0.570,2.922,0.555
2019-06-09-14:50:50.160432,0.660,-0.287,10.076,21.300,131.100,46.000,-0.422,2.984,0.523
2019-06-09-14:50:50.176064,0.641,-0.301,10.064,21.700,131.100,45.200,-1.188,2.984,0.555
2019-06-09-14:50:50.191706,0.648,-0.316,10.088,21.100,131.700,48.400,-0.664,2.906,0.352
2019-06-09-14:50:50.207321,0.665,-0.347,10.112,20.800,131.300,46.100,-0.594,2.875,0.391
2019-06-09-14:50:50.222936,0.641,-0.249,10.074,21.400,132.200,45.800,-0.805,2.820,0.641
2019-06-09-14:50:50.238753,0.648,-0.287,10.055,22.100,131.200,45.100,-0.367,2.969,0.445
2019-06-09-14:50:50.254529,0.660,-0.325,10.119,20.800,132.200,46.000,-0.484,2.789,0.523
2019-06-09-14:50:50.270238,0.663,-0.335,10.150,20.700,132.100,45.800,-0.539,2.922,0.398
2019-06-09-14:50:50.285881,0.663,-0.342,10.129,20.900,132.100,46.900,-0.688,2.758,0.508
2019-06-09-14:50:50.301483,0.646,-0.268,10.059,21.200,131.200,46.300,-0.664,3.008,0.523
2019-06-09-14:50:50.319855,0.639,-0.275,10.040,21.700,131.700,45.600,-0.461,2.688,0.109
2019-06-09-14:50:50.339371,0.646,-0.266,10.074,21.500,131.500,45.900,-0.188,2.992,0.414
2019-06-09-14:50:50.358746,0.658,-0.273,10.052,21.800,131.100,45.900,-0.492,2.648,0.352
2019-06-09-14:50:50.378119,0.656,-0.330,10.117,22.400,131.700,44.800,-0.711,3.016,0.438
2019-06-09-14:50:50.397551,0.660,-0.330,10.153,22.100,130.600,44.500,-0.594,3.133,0.445
2019-06-09-14:50:50.416972,0.660,-0.337,10.124,21.300,131.200,44.300,-0.359,3.117,0.508
2019-06-09-14:50:50.436339,0.668,-0.349,10.119,21.100,131.200,45.100,-0.422,2.758,0.492
2019-06-09-14:50:50.455695,0.660,-0.335,10.150,19.900,131.000,44.800,-0.609,2.820,0.445
2019-06-09-14:50:50.475050,0.694,-0.318,10.126,22.600,131.400,45.000,-0.672,2.961,0.508
2019-06-09-14:50:50.494658,0.651,-0.313,10.119,22.000,131.100,45.300,-1.094,2.984,0.305
2019-06-09-14:50:50.514287,0.646,-0.328,10.150,21.600,132.600,44.200,-0.352,2.930,0.281
2019-06-09-14:50:50.533708,0.646,-0.321,10.114,21.800,130.800,45.100,-0.266,2.859,0.523
2019-06-09-14:50:50.553663,0.651,-0.330,10.131,22.200,131.000,45.900,-0.297,2.859,0.188
2019-06-09-14:50:50.573287,0.665,-0.316,10.126,21.300,131.300,45.100,-1.000,2.969,0.422
2019-06-09-14:50:50.592821,0.658,-0.328,10.098,20.700,131.600,45.500,-0.992,2.961,0.523
2019-06-09-14:50:50.612395,0.663,-0.325,10.122,21.900,131.400,45.900,-0.547,2.758,0.312
2019-06-09-14:50:50.631833,0.663,-0.309,10.100,21.000,131.400,45.800,-0.977,2.906,0.547
2019-06-09-14:50:50.651290,0.653,-0.301,10.114,21.600,131.800,46.600,-0.656,2.984,0.258
2019-06-09-14:50:50.670668,0.665,-0.321,10.102,20.100,130.900,45.800,-0.250,2.836,0.531
2019-06-09-14:50:50.690026,0.651,-0.287,10.059,20.700,130.000,44.100,-0.914,3.031,0.234
2019-06-09-14:50:50.711228,0.646,-0.301,10.100,21.900,132.100,45.100,-0.492,2.688,0.602
2019-06-09-14:50:50.730923,0.644,-0.304,10.081,21.200,131.400,46.500,-0.727,2.875,0.602
2019-06-09-14:50:50.750665,0.656,-0.311,10.069,21.100,132.400,45.100,-0.438,2.906,0.211
2019-06-09-14:50:50.770191,0.646,-0.270,10.076,21.400,130.500,46.300,-0.641,2.727,0.672
2019-06-09-14:50:50.789645,0.641,-0.299,10.062,21.900,131.800,45.000,-1.094,2.984,0.484
2019-06-09-14:50:50.809045,0.660,-0.287,10.057,21.300,130.700,45.000,-0.789,2.844,0.422
2019-06-09-14:50:50.828504,0.512,-0.301,10.031,-7.000,93.900,266.300,-0.641,3.016,0.555
2019-06-09-14:50:50.847918,0.634,-0.285,10.019,1.000,67.100,228.100,-0.641,2.664,0.414
2019-06-09-14:50:50.867308,0.653,-0.316,10.052,17.400,22.400,94.000,-0.617,2.969,0.531
2019-06-09-14:50:50.886707,0.646,-0.311,10.114,-9.700,30.800,169.800,-0.438,2.820,0.336
2019-06-09-14:50:50.906078,0.665,-0.357,10.126,8.500,29.500,142.900,-0.305,2.922,0.445
2019-06-09-14:50:50.925491,0.668,-0.342,10.138,17.600,52.200,176.300,-0.828,2.875,0.422
2019-06-09-14:50:50.944876,0.680,-0.333,10.143,26.100,80.000,216.600,-0.391,2.961,0.172
2019-06-09-14:50:50.964616,0.668,-0.333,10.122,22.100,98.000,72.400,-0.258,3.055,0.492
2019-06-09-14:50:50.984164,0.644,-0.340,10.126,24.800,111.500,102.300,-0.688,3.102,0.266
2019-06-09-14:50:51.003564,0.670,-0.328,10.155,23.800,112.600,110.100,-1.078,2.758,0.531
2019-06-09-14:50:51.023006,0.677,-0.342,10.083,10.300,88.200,141.100,-0.625,2.992,0.367
2019-06-09-14:50:51.042456,0.656,-0.337,10.134,19.000,112.600,128.700,-1.078,2.617,0.445
2019-06-09-14:50:51.061854,0.629,-0.330,10.117,24.000,110.000,74.300,-0.703,2.586,0.398
2019-06-09-14:50:51.081356,0.660,-0.309,10.138,32.900,121.600,27.400,-0.586,2.797,0.461
2019-06-09-14:50:51.100748,0.668,-0.330,10.136,36.200,142.600,62.200,-1.016,2.922,0.391
2019-06-09-14:50:51.120132,0.646,-0.333,10.122,10.000,58.900,32.500,-0.352,2.922,0.133
2019-06-09-14:50:51.139659,0.646,-0.325,10.110,24.400,127.700,130.600,-0.906,2.836,0.688
2019-06-09-14:50:51.159049,0.663,-0.321,10.114,1.500,61.800,144.800,-0.367,2.789,0.234
2019-06-09-14:50:51.178407,0.644,-0.318,10.107,17.200,97.100,112.000,-0.492,2.906,0.398
2019-06-09-14:50:51.197864,0.636,-0.311,10.131,15.700,90.100,109.800,-0.547,2.773,0.367
2019-06-09-14:50:51.218532,0.689,-0.309,10.107,16.300,92.000,115.000,-0.414,2.820,0.523
2019-06-09-14:50:51.241285,0.658,-0.309,10.110,14.900,95.900,133.600,-0.555,3.164,0.484
2019-06-09-14:50:51.261437,0.641,-0.304,10.107,7.600,74.300,134.100,-0.758,2.758,0.188
2019-06-09-14:50:51.280990,0.675,-0.290,10.086,5.200,61.500,104.000,-0.953,2.898,0.461
2019-06-09-14:50:51.300529,0.668,-0.301,10.088,8.700,82.900,140.400,-0.398,2.859,0.312
2019-06-09-14:50:51.319993,0.620,-0.287,10.055,10.800,100.200,168.800,-0.258,3.117,0.438
2019-06-09-14:50:51.339560,0.641,-0.294,10.079,19.300,74.800,68.400,-0.539,2.820,0.398
2019-06-09-14:50:51.358997,0.665,-0.292,10.052,26.000,117.500,127.800,-0.656,2.836,0.391
2019-06-09-14:50:51.378403,0.629,-0.287,10.026,36.100,122.700,76.900,-0.898,2.750,0.438
2019-06-09-14:50:51.397873,0.634,-0.294,10.064,-9.600,40.500,168.500,-0.781,2.711,0.570
2019-06-09-14:50:51.417240,0.658,-0.285,10.047,11.200,106.300,212.200,-0.391,2.961,0.336
2019-06-09-14:50:51.436634,0.672,-0.280,10.081,4.300,82.400,205.800,-0.414,2.906,0.461
2019-06-09-14:50:51.456085,0.670,-0.301,10.105,9.800,59.200,87.600,-0.641,2.727,0.367
2019-06-09-14:50:51.476030,0.675,-0.337,10.150,10.900,85.300,153.500,-0.516,2.875,0.391
2019-06-09-14:50:51.495661,0.670,-0.321,10.110,11.700,69.700,117.400,-0.398,3.070,0.469
2019-06-09-14:50:51.515121,0.675,-0.328,10.107,15.600,77.100,120.400,-0.539,3.094,0.492
2019-06-09-14:50:51.534542,0.672,-0.357,10.160,11.600,52.000,69.900,-0.828,2.750,0.328
2019-06-09-14:50:51.554055,0.668,-0.292,10.105,9.000,49.200,83.100,-0.586,2.922,0.492
2019-06-09-14:50:51.573447,0.660,-0.325,10.160,9.300,58.700,119.600,-0.500,2.898,0.797
2019-06-09-14:50:51.592879,0.670,-0.340,10.129,21.500,74.100,92.200,-0.469,2.961,0.172
2019-06-09-14:50:51.612387,0.668,-0.342,10.114,22.200,75.000,93.700,-0.570,3.008,0.445
2019-06-09-14:50:51.631865,0.651,-0.316,10.124,28.700,95.200,130.700,-0.391,2.961,0.469
2019-06-09-14:50:51.651384,0.639,-0.364,10.126,17.400,98.200,186.400,-0.812,2.906,0.438
2019-06-09-14:50:51.670759,0.660,-0.328,10.131,21.500,83.100,139.000,-0.812,2.883,0.289
2019-06-09-14:50:51.690108,0.653,-0.325,10.083,20.100,85.600,146.100,-0.656,2.586,0.422
2019-06-09-14:50:51.709539,0.648,-0.328,10.086,9.800,61.700,141.900,-0.422,2.906,0.461
2019-06-09-14:50:51.729166,0.665,-0.337,10.148,9.700,57.300,133.800,-0.445,3.156,0.422
2019-06-09-14:50:51.748666,0.670,-0.318,10.093,15.400,60.500,111.900,-0.789,2.617,0.461
2019-06-09-14:50:51.768537,0.675,-0.325,10.100,29.900,72.100,80.900,-0.469,3.016,0.391
2019-06-09-14:50:51.788021,0.656,-0.323,10.124,16.200,107.000,224.100,-0.812,2.836,0.570
2019-06-09-14:50:51.807399,0.660,-0.304,10.071,-3.600,24.500,126.100,-0.969,2.758,0.375
2019-06-09-14:50:51.826805,0.653,-0.287,10.074,-4.700,44.100,161.200,-0.586,2.625,0.594
2019-06-09-14:50:51.846191,0.663,-0.309,10.098,-2.500,53.000,177.400,-0.430,3.055,0.547
2019-06-09-14:50:51.865674,0.656,-0.282,10.055,39.500,120.200,144.800,-0.375,3.047,0.305
2019-06-09-14:50:51.885064,0.680,-0.316,10.088,18.300,7.800,3.300,-0.773,2.875,0.367
