Time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Magnetometer X (uTesla), Magnetometer Y (uTesla)  , Magnetometer Z (uTesla),Gyroscope X (radians/s), Gyroscope Y (radians/s), Gyroscope Z (radians/s)
2019-05-26-02:24:57.299433,0.304,-0.184,10.122,7.400,-0.100,55.400,-1.117,2.766,-0.117
2019-05-26-02:24:57.405143,0.301,-0.179,10.136,6.700,-0.900,54.300,-1.070,2.930,-0.031
2019-05-26-02:24:57.511019,0.299,-0.182,10.122,7.900,-1.500,53.900,-0.984,2.883,-0.164
2019-05-26-02:24:57.616675,0.306,-0.184,10.114,7.500,-1.800,55.200,-0.898,2.703,0.055
2019-05-26-02:24:57.725609,0.294,-0.165,10.126,6.400,-0.900,55.200,-0.805,2.633,-0.070
2019-05-26-02:24:57.835140,0.290,-0.175,10.129,7.200,-0.400,53.200,-1.047,2.656,-0.406
2019-05-26-02:24:57.945080,0.301,-0.191,10.110,6.500,-0.400,54.200,-1.562,2.602,0.102
2019-05-26-02:24:58.054843,0.299,-0.179,10.119,7.500,0.100,53.800,-1.508,2.766,-0.117
2019-05-26-02:24:58.164495,0.299,-0.175,10.117,7.000,-1.200,53.700,-0.727,2.898,0.062
2019-05-26-02:24:58.274200,0.299,-0.189,10.119,7.600,-0.200,53.000,-0.922,2.797,-0.125
2019-05-26-02:24:58.383747,0.299,-0.177,10.124,7.500,0.000,53.100,-1.047,2.758,0.055
2019-05-26-02:24:58.493293,0.301,-0.194,10.107,7.900,-0.800,54.500,-0.891,2.625,-0.211
2019-05-26-02:24:58.602966,0.294,-0.189,10.134,7.100,-1.900,54.700,-0.961,2.500,-0.078
2019-05-26-02:24:58.712938,0.292,-0.177,10.126,7.100,-0.100,54.500,-0.820,2.586,-0.328
2019-05-26-02:24:58.822593,0.290,-0.175,10.134,7.900,-0.300,52.700,-1.305,2.570,-0.117
2019-05-26-02:24:58.932176,0.292,-0.201,10.122,6.800,-1.300,54.500,-1.164,2.547,-0.070
2019-05-26-02:24:59.041835,0.290,-0.189,10.119,7.400,-0.400,55.200,-1.188,2.672,0.148
2019-05-26-02:24:59.151865,0.311,-0.187,10.105,6.300,-0.400,53.100,-1.234,2.484,-0.328
2019-05-26-02:24:59.261600,0.294,-0.175,10.117,8.200,-0.400,53.400,-1.023,2.547,-0.094
2019-05-26-02:24:59.371289,0.301,-0.182,10.112,7.600,0.000,54.500,-0.703,2.562,-0.078
2019-05-26-02:24:59.480822,0.292,-0.187,10.134,7.100,-0.800,54.800,-1.555,2.594,-0.188
2019-05-26-02:24:59.590422,0.294,-0.182,10.105,7.400,0.000,54.300,-1.227,2.656,-0.125
2019-05-26-02:24:59.700031,0.297,-0.189,10.114,7.000,-0.100,53.500,-0.656,2.719,0.062
2019-05-26-02:24:59.809591,0.294,-0.184,10.119,6.400,-1.400,53.500,-1.094,2.953,-0.070
