Time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Magnetometer X (uTesla), Magnetometer Y (uTesla)  , Magnetometer Z (uTesla),Gyroscope X (radians/s), Gyroscope Y (radians/s), Gyroscope Z (radians/s)
2019-05-23-09:13:09.412710,0.330,-0.297,10.124,-0.100,-30.500,-19.900,-1.086,2.953,-0.102
2019-05-23-09:13:09.518409,0.316,-0.299,10.119,-0.500,-32.000,-21.000,-0.953,2.578,0.133
2019-05-23-09:13:09.624090,0.340,-0.294,10.119,-0.200,-30.800,-20.000,-1.219,2.758,0.133
2019-05-23-09:13:09.729647,0.313,-0.301,10.112,1.400,-30.600,-19.400,-0.727,2.469,0.172
2019-05-23-09:13:09.838854,0.321,-0.301,10.119,0.300,-31.500,-19.600,-0.945,2.633,-0.164
2019-05-23-09:13:09.948520,0.333,-0.301,10.114,0.200,-31.700,-20.700,-0.781,2.711,-0.102
2019-05-23-09:13:10.058263,0.333,-0.299,10.117,0.100,-31.100,-21.400,-0.867,2.734,-0.055
2019-05-23-09:13:10.167913,0.325,-0.301,10.122,0.300,-31.000,-20.800,-0.906,2.898,0.016
2019-05-23-09:13:10.277534,0.318,-0.313,10.107,0.100,-30.200,-21.300,-0.680,2.984,0.039
2019-05-23-09:13:10.387067,0.328,-0.299,10.112,-0.300,-30.900,-20.400,-1.047,2.727,0.078
2019-05-23-09:13:10.496658,0.323,-0.304,10.138,-0.500,-30.300,-21.300,-0.656,3.000,-0.031
2019-05-23-09:13:10.606916,0.323,-0.304,10.117,0.500,-30.800,-20.600,-0.836,2.961,0.125
2019-05-23-09:13:10.716704,0.342,-0.299,10.114,0.600,-30.900,-20.800,-1.148,2.906,0.062
2019-05-23-09:13:10.826252,0.318,-0.318,10.112,0.100,-31.800,-21.000,-0.750,2.703,0.062
2019-05-23-09:13:10.935819,0.325,-0.304,10.095,1.200,-31.100,-21.300,-0.859,2.844,0.102
2019-05-23-09:13:11.045709,0.313,-0.304,10.114,0.300,-31.600,-21.500,-0.773,2.922,0.148
2019-05-23-09:13:11.155569,0.323,-0.297,10.117,-0.300,-31.200,-21.500,-0.969,2.648,-0.047
2019-05-23-09:13:11.265276,0.318,-0.301,10.110,-0.300,-30.500,-20.400,-1.055,3.062,-0.094
2019-05-23-09:13:11.374815,0.306,-0.309,10.129,0.100,-30.500,-21.500,-1.062,2.828,0.008
