Time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Magnetometer X (uTesla), Magnetometer Y (uTesla)  , Magnetometer Z (uTesla),Gyroscope X (radians/s), Gyroscope Y (radians/s), Gyroscope Z (radians/s)
2019-05-23-09:10:29.422463,0.311,-0.297,10.107,-0.300,-31.600,-21.000,-0.828,2.688,0.078
2019-05-23-09:10:29.528500,0.313,-0.309,10.122,-0.900,-30.800,-21.400,-1.008,2.828,-0.164
2019-05-23-09:10:29.634155,0.321,-0.311,10.117,-1.000,-29.700,-21.400,-0.867,3.008,0.148
2019-05-23-09:10:29.739763,0.318,-0.304,10.098,-0.900,-30.100,-21.300,-1.133,2.852,-0.148
2019-05-23-09:10:29.853910,0.301,-0.313,10.110,-0.700,-30.600,-21.300,-0.789,2.836,0.109
2019-05-23-09:10:29.963700,0.323,-0.309,10.119,-1.200,-29.800,-21.300,-0.977,2.750,0.016
2019-05-23-09:10:30.073437,0.330,-0.311,10.107,-1.400,-29.600,-21.900,-1.234,2.797,0.148
2019-05-23-09:10:30.183115,0.325,-0.306,10.122,-1.100,-31.100,-22.300,-0.617,2.758,0.156
2019-05-23-09:10:30.292734,0.323,-0.299,10.129,-1.900,-30.600,-23.200,-1.008,2.547,-0.102
2019-05-23-09:10:30.402270,0.321,-0.306,10.100,-1.400,-30.000,-21.500,-0.945,2.969,0.211
2019-05-23-09:10:30.511900,0.318,-0.313,10.124,0.100,-30.700,-21.200,-0.992,2.828,-0.234
2019-05-23-09:10:30.621564,0.304,-0.297,10.122,-1.200,-30.500,-21.900,-0.688,2.836,0.219
2019-05-23-09:10:30.731492,0.316,-0.318,10.117,-1.000,-30.000,-20.500,-0.828,2.711,0.188
2019-05-23-09:10:30.841074,0.316,-0.304,10.100,-1.700,-30.100,-20.600,-0.719,3.133,0.039
2019-05-23-09:10:30.950660,0.323,-0.313,10.134,-1.100,-29.800,-21.000,-0.789,2.797,0.016
2019-05-23-09:10:31.063690,0.311,-0.299,10.112,-2.000,-28.900,-21.200,-1.016,2.984,0.055
2019-05-23-09:10:31.173321,0.321,-0.290,10.126,-1.100,-29.800,-20.700,-1.406,2.781,-0.094
2019-05-23-09:10:31.282925,0.325,-0.313,10.117,-2.700,-29.900,-22.300,-1.164,2.742,-0.102
2019-05-23-09:10:31.392427,0.311,-0.304,10.119,-1.100,-30.300,-20.400,-0.781,2.953,-0.023
2019-05-23-09:10:31.502090,0.321,-0.304,10.081,-1.300,-30.200,-20.300,-1.234,2.672,0.062
2019-05-23-09:10:31.611826,0.306,-0.313,10.136,-1.600,-29.200,-21.100,-0.438,2.625,0.148
2019-05-23-09:10:31.721424,0.311,-0.309,10.114,-0.900,-29.800,-21.500,-1.000,2.469,0.031
2019-05-23-09:10:31.830920,0.318,-0.309,10.100,-0.800,-29.300,-20.300,-0.898,2.969,-0.008
2019-05-23-09:10:31.940813,0.318,-0.309,10.114,-0.400,-30.000,-21.200,-1.039,2.758,-0.008
2019-05-23-09:10:32.050534,0.311,-0.316,10.107,-2.600,-30.500,-22.000,-1.023,2.820,0.156
2019-05-23-09:10:32.160182,0.313,-0.316,10.100,-0.900,-31.200,-22.200,-0.680,2.797,0.172
2019-05-23-09:10:32.270135,0.306,-0.309,10.112,-1.700,-31.400,-21.500,-0.984,2.656,-0.125
2019-05-23-09:10:32.379706,0.330,-0.294,10.129,-1.500,-29.900,-21.100,-0.859,2.578,0.016
2019-05-23-09:10:32.489242,0.340,-0.304,10.102,-0.700,-29.100,-20.400,-0.359,2.852,-0.141
2019-05-23-09:10:32.598958,0.309,-0.306,10.122,-1.900,-30.600,-20.000,-1.117,2.414,-0.047
2019-05-23-09:10:32.708720,0.321,-0.297,10.100,-0.500,-30.200,-21.300,-1.328,2.633,0.008
2019-05-23-09:10:32.818378,0.323,-0.287,10.122,-2.300,-31.200,-20.800,-0.781,2.758,-0.102
2019-05-23-09:10:32.927919,0.333,-0.301,10.110,-0.100,-30.200,-21.200,-0.781,2.789,0.055
2019-05-23-09:10:33.037545,0.328,-0.287,10.129,-1.900,-30.200,-20.000,-0.570,2.602,0.031
2019-05-23-09:10:33.147455,0.318,-0.311,10.114,0.000,-30.200,-20.000,-0.266,2.594,0.008
2019-05-23-09:10:33.257195,0.321,-0.299,10.131,-2.500,-30.200,-19.700,-0.789,2.820,0.086
2019-05-23-09:10:33.366756,0.309,-0.304,10.114,-0.300,-30.500,-21.600,-0.617,2.992,0.125
2019-05-23-09:10:33.476685,0.318,-0.301,10.114,-1.800,-30.700,-20.800,-0.828,2.680,-0.148
2019-05-23-09:10:33.586464,0.321,-0.301,10.141,-1.100,-30.000,-22.200,-1.031,2.734,0.219
2019-05-23-09:10:33.696445,0.321,-0.297,10.112,-2.200,-30.400,-21.100,-1.094,2.531,0.039
2019-05-23-09:10:33.806059,0.328,-0.297,10.119,-0.900,-29.700,-21.900,-0.719,2.766,-0.070
2019-05-23-09:10:33.915553,0.325,-0.306,10.129,-1.700,-29.800,-20.500,-0.969,2.508,0.008
