20190523-084543,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Magnetometer X (uTesla), Magnetometer Y (uTesla)  , Magnetometer Z (uTesla),Gyroscope X (radians/s), Gyroscope Y (radians/s), Gyroscope Z (radians/s)2019-05-23-06:45:43.088475,0.012,-0.675,10.117,55.900,-0.600,-17.800,-0.914,2.805,-0.180
2019-05-23-06:45:43.194185,-0.022,-0.675,10.064,55.500,0.100,-19.500,-1.336,2.805,-0.125
2019-05-23-06:45:43.299747,0.000,-0.680,10.150,56.600,-0.800,-20.500,-0.656,2.609,-0.227
2019-05-23-06:45:43.405551,-0.005,-0.672,10.079,56.300,-0.300,-19.100,-0.508,2.594,-0.055
2019-05-23-06:45:43.514386,0.012,-0.677,10.119,56.800,-0.600,-19.000,-0.781,2.852,-0.203
2019-05-23-06:45:43.623858,0.017,-0.668,10.095,55.800,0.000,-18.600,-0.703,2.484,-0.117
2019-05-23-06:45:43.733514,0.017,-0.668,10.143,56.100,-0.200,-17.800,-1.133,2.570,-0.273
2019-05-23-06:45:43.843458,0.002,-0.675,10.067,56.600,-0.300,-19.000,-1.289,2.539,-0.125
2019-05-23-06:45:43.952983,0.010,-0.675,10.100,56.300,-0.500,-19.400,-1.234,2.828,-0.211
2019-05-23-06:45:44.062465,0.010,-0.677,10.129,56.600,-0.200,-19.700,-0.758,2.812,0.109
2019-05-23-06:45:44.172049,0.007,-0.668,10.079,56.200,-0.500,-19.200,-0.742,2.758,-0.008
2019-05-23-06:45:44.281705,0.012,-0.675,10.124,55.900,-0.800,-19.600,-0.773,2.656,0.008
2019-05-23-06:45:44.391547,-0.005,-0.682,10.110,57.000,-0.500,-17.700,-0.773,2.602,0.016
2019-05-23-06:45:44.501082,0.019,-0.675,10.093,57.200,-0.400,-20.400,-0.703,2.680,-0.023
2019-05-23-06:45:44.617103,0.005,-0.663,10.138,56.500,0.000,-19.200,-1.258,2.906,0.008
2019-05-23-06:45:44.726864,0.012,-0.675,10.069,55.800,-0.100,-19.200,-1.125,2.672,0.016
2019-05-23-06:45:44.836425,-0.017,-0.713,10.246,55.500,-0.700,-18.900,-1.695,2.500,-0.148
2019-05-23-06:45:44.945950,0.017,-0.665,10.146,56.600,-0.400,-19.300,-0.688,2.617,0.031
2019-05-23-06:45:45.055861,0.002,-0.670,10.059,56.500,0.200,-18.200,-1.070,2.578,0.086
2019-05-23-06:45:45.165522,0.014,-0.668,10.354,56.600,-0.300,-19.300,-1.008,2.797,-0.188
2019-05-23-06:45:45.275273,0.012,-0.675,10.074,57.300,-0.800,-19.800,-1.250,2.820,-0.141
2019-05-23-06:45:45.384793,0.014,-0.665,10.081,57.200,-0.700,-18.300,-0.258,2.609,-0.023
2019-05-23-06:45:45.494255,0.017,-0.670,10.131,56.200,-0.900,-19.800,-1.117,2.672,-0.008
2019-05-23-06:45:45.603699,0.010,-0.648,10.124,56.100,0.100,-17.900,-0.695,2.852,-0.148
2019-05-23-06:45:45.713341,0.014,-0.656,10.091,55.100,0.000,-19.000,-0.750,2.500,0.031
2019-05-23-06:45:45.823289,-0.010,-0.625,9.739,56.500,-0.700,-19.900,-0.672,2.508,-0.078
2019-05-23-06:45:45.932854,0.014,-0.675,10.047,56.000,-0.300,-18.200,-1.211,2.859,0.031
2019-05-23-06:45:46.042351,0.022,-0.680,10.174,55.600,0.000,-18.300,-0.773,2.680,-0.023
2019-05-23-06:45:46.151926,0.053,-0.550,9.552,56.300,-1.000,-19.800,-1.297,3.172,-0.164
2019-05-23-06:45:46.261784,0.002,-0.672,10.069,56.300,-1.300,-18.700,-0.859,2.820,0.172
