Time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Magnetometer X (uTesla), Magnetometer Y (uTesla)  , Magnetometer Z (uTesla),Gyroscope X (radians/s), Gyroscope Y (radians/s), Gyroscope Z (radians/s)
2019-06-09-14:49:11.060280,0.670,-0.294,10.069,16.400,92.700,215.100,-0.562,2.773,0.328
2019-06-09-14:49:11.076039,0.581,-0.297,10.028,8.900,81.200,197.800,-0.508,2.797,0.391
2019-06-09-14:49:11.091678,0.670,-0.294,10.114,31.700,111.200,193.900,-0.953,2.602,0.617
2019-06-09-14:49:11.107275,0.660,-0.340,10.021,7.500,86.000,200.900,-0.953,2.469,0.555
2019-06-09-14:49:11.122881,0.663,-0.297,10.045,27.600,76.300,143.900,-0.703,2.883,0.398
2019-06-09-14:49:11.138834,0.639,-0.292,10.052,23.100,90.200,196.100,-0.727,2.961,0.289
2019-06-09-14:49:11.154522,0.660,-0.318,10.155,20.100,49.900,110.600,-0.633,2.648,0.398
2019-06-09-14:49:11.170123,0.663,-0.321,10.088,5.800,54.700,165.500,-0.555,3.078,0.242
2019-06-09-14:49:11.185722,0.653,-0.342,10.165,9.800,81.900,191.600,-0.383,3.133,0.414
2019-06-09-14:49:11.201326,0.634,-0.282,10.083,22.700,91.800,187.800,-0.414,2.961,0.398
2019-06-09-14:49:11.216913,0.644,-0.258,10.095,35.700,82.800,146.900,-0.727,2.836,0.445
2019-06-09-14:49:11.232598,0.660,-0.357,10.047,0.500,59.500,173.000,-0.445,3.102,0.391
2019-06-09-14:49:11.248260,0.656,-0.294,10.102,11.200,11.200,50.200,-0.867,3.133,0.328
2019-06-09-14:49:11.263884,0.672,-0.244,10.045,33.900,97.000,171.200,-0.516,2.758,0.570
2019-06-09-14:49:11.279481,0.656,-0.294,10.083,-13.400,47.400,203.900,-0.898,2.773,0.336
2019-06-09-14:49:11.295075,0.663,-0.251,10.055,5.000,1.700,53.600,-0.383,3.008,0.391
2019-06-09-14:49:11.310687,0.648,-0.313,10.136,18.000,93.300,207.600,-0.836,2.984,0.672
2019-06-09-14:49:11.326284,0.668,-0.304,10.131,25.300,38.500,78.700,-0.828,2.820,0.445
2019-06-09-14:49:11.341891,0.675,-0.304,10.024,11.700,26.000,96.200,-0.906,2.703,0.625
2019-06-09-14:49:11.357548,0.665,-0.256,10.040,34.200,76.500,134.900,-0.461,2.859,0.570
2019-06-09-14:49:11.373169,0.632,-0.352,10.088,6.200,-1.300,38.900,-0.641,3.055,0.195
2019-06-09-14:49:11.388805,0.646,-0.323,10.126,12.600,96.100,222.500,-0.516,2.789,0.367
2019-06-09-14:49:11.404454,0.634,-0.249,10.069,-2.600,25.200,115.500,-0.828,2.812,0.531
2019-06-09-14:49:11.421102,0.675,-0.263,10.148,8.200,4.400,72.600,-0.602,3.008,0.305
2019-06-09-14:49:11.440469,0.644,-0.282,10.083,-0.900,52.200,169.000,-1.141,2.758,0.594
2019-06-09-14:49:11.459812,0.644,-0.328,10.105,-3.600,35.000,132.500,-0.531,2.711,0.188
2019-06-09-14:49:11.479253,0.653,-0.323,10.167,18.900,54.300,119.600,-0.391,2.812,0.281
2019-06-09-14:49:11.498644,0.629,-0.311,10.067,14.100,93.100,219.200,-0.734,2.812,0.289
2019-06-09-14:49:11.518046,0.648,-0.282,10.064,4.200,16.600,92.500,-0.875,2.758,0.531
2019-06-09-14:49:11.537443,0.684,-0.292,10.100,7.600,40.000,128.200,-1.031,3.031,0.508
2019-06-09-14:49:11.556791,0.663,-0.292,10.088,16.200,25.100,94.000,-1.031,2.672,0.523
2019-06-09-14:49:11.576267,0.684,-0.304,10.026,7.700,97.100,243.800,-0.477,3.031,0.484
2019-06-09-14:49:11.595721,0.658,-0.292,10.052,12.200,76.900,184.100,-0.758,2.898,0.438
2019-06-09-14:49:11.615098,0.646,-0.321,10.057,-8.300,2.600,98.500,-0.680,2.344,0.547
2019-06-09-14:49:11.634532,0.675,-0.309,10.064,-1.700,71.200,218.400,-0.664,2.930,0.555
2019-06-09-14:49:11.653891,0.660,-0.268,10.117,3.000,17.300,82.100,-0.484,2.734,0.578
2019-06-09-14:49:11.673271,0.639,-0.328,10.043,-0.800,36.000,153.400,-0.633,2.906,0.469
2019-06-09-14:49:11.692620,0.665,-0.275,10.098,26.400,64.500,129.800,-0.414,2.844,0.523
2019-06-09-14:49:11.711962,0.660,-0.278,10.014,-1.400,31.200,142.900,-0.570,2.859,0.445
2019-06-09-14:49:11.731687,0.639,-0.263,9.968,-5.500,-2.600,70.800,-0.828,2.930,0.547
2019-06-09-14:49:11.751251,0.629,-0.251,10.028,3.300,95.700,259.500,-0.648,3.133,0.328
2019-06-09-14:49:11.770645,0.639,-0.225,10.071,28.000,36.400,72.600,-0.461,2.797,0.523
2019-06-09-14:49:11.789997,0.608,-0.232,9.961,-0.300,-13.400,45.300,-0.750,2.844,0.555
2019-06-09-14:49:11.809440,0.601,-0.299,10.071,13.400,117.900,274.100,-0.586,2.898,0.391
2019-06-09-14:49:11.830661,0.675,-0.261,10.086,-8.200,-11.600,71.400,-1.148,2.922,0.547
2019-06-09-14:49:11.850194,0.629,-0.285,10.012,31.900,127.600,243.500,-0.352,2.906,0.352
2019-06-09-14:49:11.869712,0.658,-0.261,10.057,34.100,51.400,95.300,-0.953,2.969,0.570
2019-06-09-14:49:11.889086,0.670,-0.268,10.124,38.900,107.600,191.000,-0.219,2.922,0.469
2019-06-09-14:49:11.908434,0.653,-0.280,10.069,16.600,-1.300,35.200,-0.438,2.922,0.414
2019-06-09-14:49:11.933149,0.627,-0.270,9.980,-6.400,-22.400,52.100,-0.539,2.562,0.578
2019-06-09-14:49:11.952694,0.601,-0.237,10.019,-3.500,81.500,247.800,-0.664,3.016,0.484
2019-06-09-14:49:11.972059,0.651,-0.261,10.047,7.600,113.100,280.400,-0.547,2.875,0.641
2019-06-09-14:49:11.991614,0.627,-0.337,10.047,12.500,123.100,287.200,-0.469,2.961,0.312
2019-06-09-14:49:12.011011,0.651,-0.273,10.083,-16.900,21.300,149.900,-0.766,3.008,0.688
2019-06-09-14:49:12.030451,0.672,-0.268,10.033,22.000,135.200,283.000,-0.680,2.820,0.391
2019-06-09-14:49:12.049819,0.670,-0.294,10.126,41.400,113.300,197.000,-0.469,2.992,0.484
2019-06-09-14:49:12.069172,0.620,-0.282,9.995,-0.500,70.400,214.700,-0.516,2.758,0.336
2019-06-09-14:49:12.088525,0.682,-0.280,10.062,32.600,103.700,192.900,-0.805,2.664,0.438
2019-06-09-14:49:12.107860,0.668,-0.294,10.079,34.800,89.800,167.800,-1.000,2.898,0.602
2019-06-09-14:49:12.127226,0.658,-0.287,10.138,36.300,76.000,142.600,-0.977,2.961,0.469
2019-06-09-14:49:12.146640,0.648,-0.292,10.081,-7.200,-47.900,4.100,-0.852,2.727,0.523
2019-06-09-14:49:12.166076,0.672,-0.311,10.028,19.200,4.500,53.500,-0.594,2.930,0.555
2019-06-09-14:49:12.185433,0.680,-0.282,10.079,17.700,-2.000,44.600,-0.391,2.883,0.375
2019-06-09-14:49:12.204774,0.670,-0.297,10.119,-11.700,-29.900,43.500,-0.789,2.875,0.555
2019-06-09-14:49:12.224198,0.636,-0.311,10.093,7.900,-17.500,32.900,-0.781,3.016,0.445
2019-06-09-14:49:12.243728,0.639,-0.263,9.985,27.800,23.000,64.300,-1.102,2.961,0.445
2019-06-09-14:49:12.263167,0.703,-0.258,10.114,-15.400,12.500,128.100,-0.727,2.711,0.391
2019-06-09-14:49:12.282524,0.636,-0.294,10.067,36.600,113.900,195.800,-0.906,2.820,0.570
2019-06-09-14:49:12.301879,0.625,-0.297,10.045,36.500,105.800,180.900,-0.805,2.898,0.422
2019-06-09-14:49:12.321340,0.672,-0.309,10.031,-1.400,-18.100,38.000,-0.594,2.961,0.266
2019-06-09-14:49:12.341455,0.675,-0.297,10.079,38.000,99.500,165.300,-0.555,3.008,0.461
2019-06-09-14:49:12.360913,0.684,-0.270,10.040,36.500,94.900,156.200,-0.656,2.984,0.445
2019-06-09-14:49:12.380285,0.682,-0.249,10.045,37.100,95.100,161.200,-0.461,2.836,0.391
2019-06-09-14:49:12.399643,0.706,-0.266,10.110,37.400,96.500,158.600,-0.469,2.922,0.508
2019-06-09-14:49:12.420700,0.648,-0.251,10.002,34.100,126.900,226.000,-0.750,2.961,0.547
2019-06-09-14:49:12.440214,0.625,-0.270,10.050,30.100,131.500,245.800,-0.727,2.812,0.188
2019-06-09-14:49:12.459679,0.680,-0.297,10.062,25.700,134.700,262.000,-0.352,2.898,0.398
2019-06-09-14:49:12.479082,0.632,-0.249,9.983,21.000,134.400,273.300,-0.641,2.883,0.523
2019-06-09-14:49:12.498665,0.651,-0.278,10.045,37.700,111.600,191.900,-0.656,2.984,0.289
2019-06-09-14:49:12.518045,0.730,-0.263,10.043,31.600,44.300,85.100,-0.711,2.859,0.703
2019-06-09-14:49:12.537412,0.658,-0.244,10.009,34.500,56.800,104.100,-0.781,3.031,0.594
2019-06-09-14:49:12.556835,0.660,-0.292,10.098,34.500,126.200,225.700,-0.156,2.875,0.336
2019-06-09-14:49:12.576232,0.670,-0.304,10.100,31.700,135.900,245.400,-0.484,2.859,0.641
2019-06-09-14:49:12.595611,0.680,-0.299,10.059,29.700,139.900,266.300,-0.648,3.289,0.422
2019-06-09-14:49:12.614943,0.639,-0.299,10.055,17.200,138.300,291.300,-0.617,3.094,0.531
2019-06-09-14:49:12.634375,0.644,-0.354,10.076,46.800,102.900,161.000,-0.586,2.672,0.570
2019-06-09-14:49:12.653789,0.670,-0.337,10.177,-21.900,-12.000,89.700,-0.594,3.008,0.375
