Time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Magnetometer X (uTesla), Magnetometer Y (uTesla)  , Magnetometer Z (uTesla),Gyroscope X (radians/s), Gyroscope Y (radians/s), Gyroscope Z (radians/s)
2019-06-09-14:49:12.673147,0.670,-0.330,10.126,-14.400,-35.800,33.100,-0.586,2.820,0.336
2019-06-09-14:49:12.692502,0.680,-0.328,10.117,33.600,148.000,280.500,-0.344,2.984,0.438
2019-06-09-14:49:12.711836,0.656,-0.292,10.134,44.900,67.400,116.300,-0.516,2.969,0.641
2019-06-09-14:49:12.731355,0.644,-0.321,10.071,17.500,-23.800,5.300,-0.586,2.961,0.398
2019-06-09-14:49:12.750953,0.656,-0.261,10.064,41.500,49.400,88.100,-0.859,3.102,0.625
2019-06-09-14:49:12.770358,0.634,-0.313,10.059,-22.600,-4.500,115.700,-0.539,3.211,0.375
2019-06-09-14:49:12.789712,0.689,-0.246,10.014,49.100,91.700,146.500,-0.516,2.906,0.711
2019-06-09-14:49:12.809054,0.625,-0.263,10.016,5.500,121.800,309.300,-0.773,2.922,0.492
2019-06-09-14:49:12.828437,0.639,-0.301,10.098,-15.800,-40.800,29.800,-0.562,2.797,0.508
2019-06-09-14:49:12.847928,0.632,-0.270,10.019,8.000,131.100,319.200,-0.008,3.133,0.281
2019-06-09-14:49:12.867397,0.605,-0.270,9.985,-5.900,91.600,284.400,-0.469,2.969,0.461
2019-06-09-14:49:12.886821,0.632,-0.290,9.971,-21.600,-27.700,58.600,-0.539,2.922,0.438
2019-06-09-14:49:12.906228,0.668,-0.261,10.019,-11.400,-44.300,11.800,-0.789,2.898,0.492
2019-06-09-14:49:12.925597,0.625,-0.246,10.083,26.100,138.000,289.000,-0.789,2.945,0.398
2019-06-09-14:49:12.944952,0.658,-0.333,10.062,13.700,-30.900,-3.300,-0.414,2.922,0.508
2019-06-09-14:49:12.964407,0.629,-0.290,10.158,-10.500,-45.500,5.800,-0.055,2.906,0.422
2019-06-09-14:49:12.983850,0.675,-0.299,10.146,-22.200,6.200,144.000,-0.445,2.922,0.484
2019-06-09-14:49:13.003250,0.658,-0.347,10.143,46.700,73.500,121.400,-1.055,2.812,0.555
2019-06-09-14:49:13.022614,0.622,-0.340,10.201,37.600,18.800,45.500,-0.727,2.930,0.484
2019-06-09-14:49:13.042292,0.646,-0.321,10.095,20.300,145.400,315.700,-0.930,2.789,0.391
2019-06-09-14:49:13.061858,0.629,-0.330,10.059,1.200,101.700,282.100,-0.352,2.898,0.570
2019-06-09-14:49:13.081330,0.627,-0.325,10.169,33.300,48.000,97.800,-0.734,2.836,0.391
2019-06-09-14:49:13.100701,0.615,-0.301,10.105,-13.500,85.300,271.400,-0.531,2.648,0.211
2019-06-09-14:49:13.120068,0.687,-0.323,10.047,-8.500,-43.300,-3.400,-0.781,3.016,0.375
2019-06-09-14:49:13.142913,0.627,-0.282,10.050,-18.600,-42.600,26.500,-0.539,2.859,0.312
2019-06-09-14:49:13.162427,0.641,-0.256,10.112,-3.600,98.200,291.400,-0.734,2.992,0.391
2019-06-09-14:49:13.181857,0.615,-0.335,10.055,40.200,36.700,71.800,-0.688,3.102,0.508
2019-06-09-14:49:13.201315,0.601,-0.330,10.091,22.200,115.200,265.400,-0.023,2.961,0.469
2019-06-09-14:49:13.220703,0.660,-0.258,10.069,40.000,146.700,256.500,-0.781,2.859,0.438
2019-06-09-14:49:13.240170,0.651,-0.258,10.055,12.300,-23.300,-0.200,-0.508,2.984,0.422
2019-06-09-14:49:13.259685,0.632,-0.304,10.007,-8.900,-40.900,9.700,-0.656,2.883,0.445
2019-06-09-14:49:13.279139,0.639,-0.294,10.095,0.900,120.100,304.500,-0.570,2.820,0.492
2019-06-09-14:49:13.298500,0.668,-0.299,10.093,-9.100,-41.100,9.900,-0.859,3.047,0.445
2019-06-09-14:49:13.327019,0.646,-0.321,10.126,-4.900,-44.700,10.600,-0.570,2.758,0.531
2019-06-09-14:49:13.346535,0.682,-0.309,10.050,19.700,-23.800,3.400,-0.727,2.328,0.461
2019-06-09-14:49:13.365974,0.675,-0.340,10.126,-6.000,-47.000,11.100,-0.328,2.906,0.367
2019-06-09-14:49:13.385387,0.660,-0.294,10.138,27.200,-3.900,21.400,-0.656,2.711,0.531
2019-06-09-14:49:13.404740,0.641,-0.282,10.124,22.500,-17.200,7.300,-0.594,2.922,0.312
2019-06-09-14:49:13.424158,0.675,-0.270,10.024,13.500,126.800,308.500,-0.727,2.961,0.469
2019-06-09-14:49:13.443515,0.689,-0.301,10.045,14.700,127.400,306.200,-0.898,2.812,0.391
2019-06-09-14:49:13.462901,0.672,-0.273,10.050,-1.600,-36.900,14.800,-0.547,2.883,0.531
2019-06-09-14:49:13.482406,0.632,-0.273,10.000,29.900,9.800,44.000,-0.414,2.797,0.844
2019-06-09-14:49:13.501823,0.620,-0.263,10.021,33.700,17.100,46.400,-0.688,2.797,0.391
2019-06-09-14:49:13.521267,0.610,-0.325,10.112,44.700,101.400,170.600,-0.898,2.648,0.414
2019-06-09-14:49:13.544106,0.670,-0.268,10.105,32.900,139.200,274.300,-0.484,2.773,0.367
2019-06-09-14:49:13.563583,0.675,-0.230,10.047,-6.400,-32.700,25.900,-0.844,3.117,0.461
2019-06-09-14:49:13.583078,0.675,-0.280,10.014,-17.200,-6.100,112.100,-0.641,2.789,0.555
2019-06-09-14:49:13.602454,0.601,-0.261,10.014,2.400,115.300,306.300,-0.508,2.859,0.492
2019-06-09-14:49:13.621826,0.689,-0.261,10.093,-3.300,-33.200,21.800,-0.992,2.750,0.469
2019-06-09-14:49:13.641278,0.632,-0.313,10.016,45.600,84.600,141.200,-0.836,2.812,0.391
2019-06-09-14:49:13.660627,0.620,-0.280,10.038,51.100,119.100,194.800,-0.758,3.016,0.469
2019-06-09-14:49:13.680108,0.620,-0.287,10.074,8.100,-31.400,6.000,-0.641,2.688,0.375
2019-06-09-14:49:13.699573,0.694,-0.306,10.014,39.600,139.600,236.700,-0.680,2.945,0.531
2019-06-09-14:49:13.718941,0.675,-0.244,10.012,33.600,38.200,69.600,-0.297,3.016,0.219
2019-06-09-14:49:13.738436,0.627,-0.225,10.088,44.100,110.600,175.900,-0.516,2.758,0.555
2019-06-09-14:49:13.757883,0.665,-0.297,10.100,37.500,151.700,265.400,-0.367,2.984,0.594
2019-06-09-14:49:13.777255,0.648,-0.299,10.000,-23.100,-21.100,74.500,-0.641,2.898,0.352
2019-06-09-14:49:13.796882,0.648,-0.251,10.062,29.100,12.200,35.400,-0.789,2.836,0.617
2019-06-09-14:49:13.816332,0.658,-0.301,10.055,-1.700,118.900,303.500,-1.016,2.883,0.336
2019-06-09-14:49:13.835829,0.668,-0.287,10.024,44.900,113.200,176.300,-0.688,2.883,0.289
2019-06-09-14:49:13.855207,0.641,-0.321,10.093,34.100,157.700,287.200,-0.484,2.883,0.414
2019-06-09-14:49:13.874586,0.625,-0.342,10.126,2.500,-37.200,-8.400,-0.664,2.641,0.555
2019-06-09-14:49:13.894103,0.641,-0.270,10.095,40.700,70.100,109.600,-0.711,2.930,0.531
2019-06-09-14:49:13.913503,0.634,-0.287,10.134,-21.700,-30.300,49.100,-0.586,2.930,0.352
2019-06-09-14:49:13.932847,0.639,-0.256,10.031,-26.500,16.200,159.600,-0.492,2.711,0.461
2019-06-09-14:49:13.952178,0.684,-0.306,9.985,-24.000,30.300,184.900,-0.750,2.812,0.602
2019-06-09-14:49:13.971632,0.636,-0.318,10.040,1.500,-33.400,-1.500,-0.789,2.969,0.375
2019-06-09-14:49:13.991204,0.646,-0.234,10.100,-23.700,-19.900,80.400,-0.586,2.688,0.469
2019-06-09-14:49:14.010607,0.627,-0.292,10.035,45.900,82.500,125.700,-0.453,2.992,0.336
2019-06-09-14:49:14.029967,0.620,-0.237,9.971,11.500,1.700,34.000,-0.711,3.352,0.383
2019-06-09-14:49:14.049894,0.605,-0.254,10.055,24.900,8.500,30.000,-0.836,2.758,0.211
2019-06-09-14:49:14.069434,0.625,-0.266,10.004,-9.200,78.100,267.200,-0.523,3.047,0.531
2019-06-09-14:49:14.088908,0.689,-0.309,10.088,44.600,141.500,256.800,-0.969,2.773,0.352
2019-06-09-14:49:14.108278,0.636,-0.294,10.083,47.700,123.400,214.500,-0.531,2.836,0.461
2019-06-09-14:49:14.127713,0.703,-0.273,10.088,48.500,84.300,139.800,-0.945,2.875,0.461
2019-06-09-14:49:14.147115,0.672,-0.294,10.057,-18.700,31.600,193.800,-0.398,2.992,0.578
2019-06-09-14:49:14.166490,0.632,-0.287,10.007,35.000,151.200,295.900,-0.570,2.969,0.594
2019-06-09-14:49:14.185979,0.648,-0.294,10.038,-22.900,-8.300,114.900,-0.625,3.016,0.508
2019-06-09-14:49:14.205356,0.644,-0.280,10.004,-3.200,96.100,291.000,-0.547,2.836,0.336
2019-06-09-14:49:14.224707,0.603,-0.273,10.047,9.300,126.800,315.100,-0.156,2.898,0.594
2019-06-09-14:49:14.244257,0.646,-0.321,10.028,-19.200,27.900,181.000,-0.531,2.812,0.617
2019-06-09-14:49:14.263697,0.641,-0.275,9.866,-13.000,-36.700,36.600,-0.297,2.789,0.461
2019-06-09-14:49:14.283249,0.699,-0.347,10.160,-5.000,-40.200,12.600,-0.594,2.875,0.555
2019-06-09-14:49:14.302831,0.660,-0.318,10.091,-0.700,97.600,289.500,-0.258,3.164,0.422
2019-06-09-14:49:14.322293,0.701,-0.304,10.150,-18.600,12.800,148.300,-0.625,3.156,0.469
2019-06-09-14:49:14.345469,0.627,-0.285,10.050,-3.400,-37.300,14.800,-0.547,2.875,0.414
2019-06-09-14:49:14.364933,0.634,-0.313,10.024,-19.100,14.600,152.900,-0.719,3.055,0.188
2019-06-09-14:49:14.384703,0.672,-0.297,10.064,7.700,114.400,300.300,-0.539,2.734,0.602
2019-06-09-14:49:14.404297,0.687,-0.333,10.114,-12.100,44.200,215.200,-0.359,3.047,0.461
2019-06-09-14:49:14.423749,0.675,-0.316,10.086,13.000,-27.000,8.700,-0.664,2.961,0.531
2019-06-09-14:49:14.443140,0.634,-0.309,10.067,40.600,51.500,94.500,-0.359,3.141,0.523
2019-06-09-14:49:14.462504,0.625,-0.311,10.098,47.900,61.300,97.000,-0.688,3.141,0.469
2019-06-09-14:49:14.481903,0.644,-0.345,10.160,-14.500,-15.400,79.400,-0.375,2.789,0.422
2019-06-09-14:49:14.501417,0.689,-0.270,10.033,-17.300,-22.500,62.700,-1.094,2.969,0.352
2019-06-09-14:49:14.520814,0.648,-0.301,10.028,15.200,-36.900,-1.700,-0.922,2.789,0.328
2019-06-09-14:49:14.540174,0.605,-0.273,10.059,-18.000,38.400,203.800,-0.805,2.836,0.438
2019-06-09-14:49:14.559827,0.670,-0.263,10.026,-11.800,61.600,246.700,-0.836,2.992,0.422
2019-06-09-14:49:14.579494,0.636,-0.301,10.076,-18.200,-33.900,50.800,-0.617,2.734,0.391
2019-06-09-14:49:14.599010,0.639,-0.316,9.990,38.900,163.900,307.200,-0.633,2.734,0.352
2019-06-09-14:49:14.618430,0.670,-0.273,10.047,-19.400,-23.600,52.200,-0.438,2.812,0.570
2019-06-09-14:49:14.637871,0.727,-0.225,10.035,28.300,13.400,33.500,-0.508,2.836,0.336
2019-06-09-14:49:14.657229,0.660,-0.340,10.026,42.300,132.800,221.600,-0.594,2.820,0.422
2019-06-09-14:49:14.676580,0.636,-0.225,10.050,0.600,116.500,304.900,-0.594,2.859,0.484
2019-06-09-14:49:14.696010,0.660,-0.261,10.028,-2.200,112.400,301.200,-0.469,2.984,0.336
2019-06-09-14:49:14.715425,0.641,-0.278,10.035,-24.000,-6.700,87.000,-0.648,2.930,0.711
2019-06-09-14:49:14.741524,0.579,-0.280,10.043,-6.400,76.300,264.200,-0.836,3.070,0.758
2019-06-09-14:49:14.761167,0.641,-0.335,9.961,-16.100,-21.900,64.800,-0.953,3.016,0.312
2019-06-09-14:49:14.780563,0.615,-0.254,10.045,34.400,25.000,60.700,-0.539,2.984,0.672
2019-06-09-14:49:14.799917,0.615,-0.282,10.086,40.400,132.900,252.500,-0.484,2.750,0.469
2019-06-09-14:49:14.819423,0.639,-0.280,10.038,7.400,116.300,299.000,-0.242,2.844,0.242
2019-06-09-14:49:14.840756,0.644,-0.290,10.016,-18.000,9.400,147.100,-0.734,2.961,0.422
2019-06-09-14:49:14.860182,0.634,-0.268,10.031,48.700,96.000,155.700,-0.797,3.078,0.312
2019-06-09-14:49:14.879614,0.687,-0.278,10.050,40.200,54.500,103.600,-0.727,2.820,0.594
2019-06-09-14:49:14.898987,0.696,-0.299,10.059,41.300,71.200,125.200,-0.805,2.750,0.523
2019-06-09-14:49:14.918418,0.672,-0.273,10.057,34.200,131.200,263.300,-1.000,2.711,0.648
2019-06-09-14:49:14.937860,0.641,-0.301,10.067,-15.900,41.200,203.500,-0.727,2.922,0.414
2019-06-09-14:49:14.957207,0.677,-0.290,10.071,22.100,145.200,295.200,-0.445,3.141,0.375
2019-06-09-14:49:14.976540,0.636,-0.256,10.035,-1.100,113.400,293.400,-0.758,2.922,0.578
2019-06-09-14:49:14.996061,0.636,-0.220,10.009,29.900,30.500,63.200,-0.953,2.602,0.641
2019-06-09-14:49:15.015524,0.658,-0.287,10.069,-0.800,-30.200,14.800,-0.688,3.031,0.242
2019-06-09-14:49:15.034912,0.660,-0.304,10.091,-14.600,-22.000,43.900,-0.445,3.055,0.672
2019-06-09-14:49:15.054711,0.663,-0.294,10.155,21.700,143.400,291.500,-0.273,2.945,0.602
2019-06-09-14:49:15.074200,0.668,-0.287,10.067,36.100,137.500,245.500,-0.641,2.898,0.484
2019-06-09-14:49:15.093573,0.665,-0.364,10.102,-17.800,40.300,200.600,-0.227,2.922,0.469
2019-06-09-14:49:15.112891,0.639,-0.287,10.067,12.200,-18.700,20.000,-1.000,2.820,0.594
2019-06-09-14:49:15.132345,0.617,-0.321,10.193,-8.200,93.400,273.900,-0.812,2.703,0.555
2019-06-09-14:49:15.153394,0.660,-0.318,9.997,-19.900,-16.300,66.600,-0.766,3.094,0.555
2019-06-09-14:49:15.178558,0.632,-0.251,10.081,43.500,71.600,126.400,-1.023,2.812,0.484
2019-06-09-14:49:15.198595,0.653,-0.273,10.079,49.000,116.400,193.400,-0.281,3.055,0.352
2019-06-09-14:49:15.218149,0.658,-0.297,10.052,43.200,136.700,246.800,-0.438,2.906,0.289
2019-06-09-14:49:15.237769,0.651,-0.290,10.158,34.100,147.100,264.400,-0.445,2.945,0.398
2019-06-09-14:49:15.257275,0.677,-0.349,10.100,42.200,125.200,206.900,-0.656,2.898,0.438
2019-06-09-14:49:15.276713,0.689,-0.323,10.067,-19.300,-22.400,52.500,-0.789,2.836,0.289
2019-06-09-14:49:15.296119,0.660,-0.325,10.095,-2.300,-32.700,5.900,-0.195,2.836,0.508
2019-06-09-14:49:15.315566,0.682,-0.337,10.112,41.100,77.700,123.600,0.000,2.898,0.375
2019-06-09-14:49:15.334994,0.625,-0.340,10.124,-19.100,47.100,208.400,-0.977,2.773,0.328
2019-06-09-14:49:15.354377,0.687,-0.268,10.043,-9.500,-36.800,14.100,-0.344,2.906,0.281
2019-06-09-14:49:15.373785,0.670,-0.313,10.162,41.100,61.800,98.200,-0.516,2.797,0.258
2019-06-09-14:49:15.393131,0.653,-0.323,10.076,-3.400,-37.500,3.600,-0.789,2.859,0.445
2019-06-09-14:49:15.412481,0.644,-0.368,10.138,-17.000,-29.500,40.500,-0.344,2.844,0.492
2019-06-09-14:49:15.431878,0.617,-0.325,10.146,-9.500,54.200,214.300,-0.047,3.031,0.492
2019-06-09-14:49:15.451320,0.636,-0.278,9.959,-5.900,-29.800,24.400,-0.773,2.758,0.523
2019-06-09-14:49:15.470661,0.641,-0.258,10.021,-16.700,13.700,127.400,-0.820,2.992,0.508
2019-06-09-14:49:15.490038,0.620,-0.258,9.964,-10.000,8.400,104.600,-1.258,2.875,0.312
2019-06-09-14:49:15.509568,0.617,-0.261,10.012,-1.800,82.900,249.800,-1.047,2.961,0.602
2019-06-09-14:49:15.528987,0.689,-0.290,10.026,29.200,81.700,155.100,-0.805,2.734,0.773
2019-06-09-14:49:15.548967,0.648,-0.275,10.076,34.800,113.100,205.000,-0.352,2.734,0.289
2019-06-09-14:49:15.569951,0.680,-0.325,10.088,34.600,43.100,71.700,-0.547,2.758,0.648
2019-06-09-14:49:15.589577,0.670,-0.287,10.050,26.000,153.600,299.900,-0.422,2.859,0.445
2019-06-09-14:49:15.609008,0.648,-0.325,10.148,40.900,126.400,213.600,-0.641,2.945,0.336
2019-06-09-14:49:15.628471,0.644,-0.290,10.062,11.600,142.100,313.100,-0.602,3.016,0.312
2019-06-09-14:49:15.647865,0.627,-0.306,10.102,16.800,8.900,59.000,-0.328,2.930,0.391
2019-06-09-14:49:15.667214,0.653,-0.285,9.964,8.600,-42.700,-1.100,-0.758,3.078,0.617
2019-06-09-14:49:15.686585,0.615,-0.273,10.076,-14.100,54.700,237.300,-0.859,2.734,0.336
2019-06-09-14:49:15.706029,0.613,-0.275,10.057,39.500,37.200,71.400,-0.617,3.117,0.172
2019-06-09-14:49:15.725506,0.660,-0.311,10.105,-1.900,100.000,292.000,-0.734,3.008,0.523
2019-06-09-14:49:15.745017,0.636,-0.316,10.071,33.800,9.100,41.000,-0.586,2.648,0.391
2019-06-09-14:49:15.764455,0.672,-0.361,10.148,18.300,140.100,314.100,-0.555,2.992,0.445
2019-06-09-14:49:15.783806,0.646,-0.383,10.150,-19.600,7.800,147.500,-0.742,2.992,0.398
2019-06-09-14:49:15.803172,0.668,-0.392,10.198,-19.800,-24.500,74.700,-0.492,2.859,0.352
2019-06-09-14:49:15.822516,0.629,-0.328,10.098,-19.100,25.500,183.400,-0.656,2.883,0.602
2019-06-09-14:49:15.841943,0.677,-0.328,10.062,2.800,-45.400,-1.300,-0.422,3.031,0.578
2019-06-09-14:49:15.861288,0.644,-0.292,10.074,39.400,31.200,68.000,-0.719,3.102,0.398
2019-06-09-14:49:15.880652,0.644,-0.361,10.114,-19.200,23.300,175.800,-0.703,2.922,0.305
