20190523-083342,Acceleration (m/s^2),Magnetometer (uTesla),Gyroscope (radians/s)20190523-083342,(-0.002,-0.651,10.093),(55.100,-1.800,-17.600),(-0.883,2.688,0.281)
20190523-083348,(-0.010,-0.660,10.134),(55.700,-0.600,-18.300),(-1.570,2.562,-0.125)
20190523-083348,(0.007,-0.668,10.091),(55.400,-2.300,-17.800),(-1.086,2.805,-0.180)
20190523-083348,(0.007,-0.658,10.122),(55.700,-0.800,-17.400),(-1.297,2.586,0.016)
20190523-083348,(0.014,-0.658,10.155),(55.400,-1.100,-17.100),(-1.055,2.812,0.172)
20190523-083348,(0.010,-0.675,10.129),(56.600,-1.400,-17.500),(-0.820,2.953,-0.305)
20190523-083348,(0.007,-0.680,10.124),(54.900,-1.100,-16.500),(-0.875,2.547,-0.188)
20190523-083348,(-0.002,-0.668,10.069),(55.400,-0.800,-17.900),(-0.922,2.352,-0.250)
20190523-083348,(0.002,-0.663,10.122),(56.700,-0.900,-16.600),(-1.258,2.586,-0.203)
20190523-083348,(-0.007,-0.663,10.131),(55.900,-1.200,-17.400),(-1.273,2.492,0.055)
20190523-083348,(-0.002,-0.656,10.079),(55.700,-0.500,-19.000),(-0.797,2.844,-0.031)
20190523-083349,(-0.002,-0.675,10.129),(56.300,-2.300,-18.000),(-0.867,2.609,-0.320)
20190523-083349,(0.005,-0.672,10.138),(55.000,-1.500,-18.600),(-1.023,2.766,-0.125)
20190523-083349,(0.010,-0.668,10.050),(55.600,-0.900,-18.300),(-0.852,2.820,0.039)
20190523-083349,(0.010,-0.658,10.122),(56.300,-0.800,-18.200),(-0.688,2.859,0.031)
20190523-083349,(-0.002,-0.656,10.131),(56.400,-1.100,-18.000),(-1.258,2.930,-0.188)
20190523-083349,(-0.007,-0.665,10.028),(55.700,-0.600,-17.000),(-1.430,2.562,-0.125)
20190523-083349,(0.010,-0.663,10.100),(55.800,-1.400,-18.700),(-1.227,2.672,-0.078)
20190523-083349,(0.000,-0.660,10.167),(57.000,-1.700,-16.700),(-1.383,2.844,0.078)
20190523-083349,(0.000,-0.658,10.102),(55.300,-1.000,-18.800),(-0.883,2.758,0.055)
20190523-083350,(0.014,-0.663,10.107),(56.100,-2.000,-17.600),(-0.742,2.375,-0.250)
20190523-083350,(0.005,-0.660,10.143),(55.300,-0.900,-17.900),(-1.086,2.672,-0.102)
20190523-083350,(0.005,-0.665,10.050),(55.900,-0.900,-16.400),(-0.719,2.695,-0.102)
20190523-083350,(0.005,-0.660,10.112),(54.900,-1.100,-17.500),(-0.539,2.758,-0.180)
20190523-083350,(-0.014,-0.672,10.071),(55.700,-0.800,-17.600),(-0.875,2.648,-0.078)
20190523-083350,(0.005,-0.656,10.148),(56.100,-0.400,-17.800),(-0.922,2.625,0.188)
20190523-083350,(0.012,-0.656,10.124),(55.300,-1.300,-18.000),(-0.852,2.516,0.055)
20190523-083350,(0.014,-0.668,10.079),(56.200,-1.200,-18.700),(-1.133,2.570,-0.008)
20190523-083350,(-0.005,-0.644,10.136),(55.900,-1.300,-16.900),(-1.250,2.508,-0.070)
20190523-083351,(0.007,-0.658,10.119),(56.600,-1.300,-17.500),(-0.906,2.859,0.102)
20190523-083351,(-0.007,-0.658,10.076),(54.500,-0.600,-16.500),(-0.945,2.750,0.062)
20190523-083351,(0.012,-0.677,10.112),(56.200,-2.000,-19.000),(-1.109,2.422,-0.078)
20190523-083351,(0.010,-0.668,10.155),(55.600,-1.800,-18.300),(-0.336,2.758,-0.023)
20190523-083351,(0.000,-0.668,10.047),(56.500,-1.600,-18.900),(-0.742,2.758,-0.023)
20190523-083351,(0.022,-0.665,10.091),(56.900,-1.100,-18.000),(-0.875,2.641,0.055)
20190523-083351,(-0.002,-0.660,10.143),(56.200,-1.200,-18.800),(-0.992,2.703,0.031)
20190523-083351,(0.002,-0.648,10.069),(55.400,-1.800,-18.100),(-1.234,2.766,-0.008)
20190523-083351,(-0.002,-0.672,10.083),(55.400,-1.800,-17.700),(-1.156,2.422,-0.203)
20190523-083352,(0.000,-0.651,10.153),(55.800,-1.100,-18.700),(-1.117,2.594,0.008)
20190523-083352,(0.002,-0.660,10.086),(56.000,-1.000,-16.900),(-1.336,2.906,-0.008)
