Time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Magnetometer X (uTesla), Magnetometer Y (uTesla)  , Magnetometer Z (uTesla),Gyroscope X (radians/s), Gyroscope Y (radians/s), Gyroscope Z (radians/s)
2019-05-26-01:54:27.123251,0.347,-0.201,10.114,-57.200,69.800,26.400,-1.156,2.883,-0.008
2019-05-26-01:54:27.228958,0.342,-0.203,10.105,-58.500,70.000,24.000,-1.312,2.797,0.086
2019-05-26-01:54:27.334656,0.340,-0.191,10.136,-58.400,69.700,24.900,-1.023,2.844,-0.414
2019-05-26-01:54:27.440249,0.333,-0.179,10.124,-57.500,70.300,26.300,-0.820,2.719,-0.078
2019-05-26-01:54:27.547701,0.352,-0.189,10.153,-57.900,70.200,25.400,-0.672,2.648,-0.430
2019-05-26-01:54:27.657667,0.349,-0.220,10.155,-57.800,69.900,26.100,-0.828,2.539,0.109
2019-05-26-01:54:27.767297,0.325,-0.211,10.131,-58.200,70.600,25.400,-1.133,2.547,-0.117
2019-05-26-01:54:27.877158,0.318,-0.196,10.136,-57.500,70.800,26.300,-1.047,2.891,-0.078
2019-05-26-01:54:27.986797,0.337,-0.196,10.107,-57.300,71.000,25.300,-1.219,2.844,0.031
2019-05-26-01:54:28.096828,0.349,-0.201,10.100,-58.100,69.100,25.000,-0.930,2.453,0.055
2019-05-26-01:54:28.206544,0.349,-0.199,10.134,-57.700,70.200,26.200,-0.867,2.672,-0.250
2019-05-26-01:54:28.316205,0.328,-0.215,10.122,-58.100,70.600,25.800,-0.938,2.523,-0.250
2019-05-26-01:54:28.426004,0.309,-0.206,10.158,-58.100,70.300,26.600,-1.602,2.531,0.078
2019-05-26-01:54:28.535882,0.325,-0.203,10.122,-57.700,70.800,25.500,-0.875,2.695,-0.141
2019-05-26-01:54:28.645531,0.318,-0.189,10.119,-57.000,70.900,24.200,-1.445,2.586,-0.180
2019-05-26-01:54:28.755141,0.330,-0.206,10.131,-58.900,70.700,25.900,-0.625,2.719,-0.102
2019-05-26-01:54:28.865150,0.316,-0.199,10.136,-57.600,69.400,25.200,-0.891,2.953,-0.117
2019-05-26-01:54:28.974798,0.345,-0.208,10.107,-57.600,70.300,24.700,-0.750,2.688,0.102
2019-05-26-01:54:29.084421,0.328,-0.194,10.129,-57.300,70.300,25.600,-1.211,2.711,-0.078
2019-05-26-01:54:29.193968,0.337,-0.191,10.131,-57.500,70.400,24.900,-0.984,2.680,-0.102
2019-05-26-01:54:29.303862,0.328,-0.196,10.107,-56.900,69.200,24.900,-0.602,2.758,-0.055
2019-05-26-01:54:29.413760,0.311,-0.199,10.136,-57.400,69.400,25.300,-1.023,2.867,-0.055
2019-05-26-01:54:29.527909,0.333,-0.201,10.107,-57.500,69.900,24.600,-1.180,2.844,-0.148
2019-05-26-01:54:29.637899,0.352,-0.182,10.134,-57.700,70.200,26.700,-1.117,2.758,-0.359
2019-05-26-01:54:29.747745,0.330,-0.191,10.131,-58.300,71.000,25.100,-1.367,3.000,-0.008
2019-05-26-01:54:29.857491,0.335,-0.208,10.141,-58.100,69.400,25.700,-1.016,2.711,-0.008
2019-05-26-01:54:29.967166,0.316,-0.208,10.138,-57.900,70.500,26.700,-1.336,2.828,-0.180
2019-05-26-01:54:30.077162,0.349,-0.194,10.091,-56.700,70.000,24.900,-1.211,2.672,-0.203
2019-05-26-01:54:30.186857,0.340,-0.191,10.105,-59.100,69.600,25.300,-0.945,2.852,-0.125
2019-05-26-01:54:30.296657,0.352,-0.196,10.129,-57.500,68.800,24.000,-0.766,2.781,-0.211
2019-05-26-01:54:30.406444,0.340,-0.201,10.129,-58.200,70.100,24.200,-1.016,2.875,0.031
2019-05-26-01:54:30.516522,0.323,-0.206,10.112,-57.000,70.300,25.700,-1.289,2.766,-0.117
2019-05-26-01:54:30.626156,0.323,-0.199,10.112,-57.500,70.000,25.900,-1.383,2.734,-0.586
2019-05-26-01:54:30.735979,0.330,-0.187,10.100,-58.100,70.100,24.400,-0.891,2.680,-0.141
2019-05-26-01:54:30.845766,0.352,-0.196,10.110,-58.800,70.200,24.700,-1.094,2.648,-0.234
2019-05-26-01:54:30.955414,0.352,-0.199,10.119,-57.800,69.800,24.400,-1.211,2.609,-0.047
2019-05-26-01:54:31.065014,0.342,-0.203,10.122,-57.000,70.800,24.900,-1.070,2.680,-0.023
2019-05-26-01:54:31.174560,0.337,-0.203,10.124,-57.800,71.600,25.900,-0.602,2.852,-0.281
2019-05-26-01:54:31.284603,0.371,-0.163,10.141,-58.100,70.700,24.300,-1.414,2.539,0.211
2019-05-26-01:54:31.394510,0.359,-0.167,10.107,-58.200,70.000,23.700,-1.070,2.797,-0.031
2019-05-26-01:54:31.504564,0.333,-0.194,10.148,-57.100,69.300,25.100,-1.195,2.820,0.031
2019-05-26-01:54:31.614304,0.323,-0.220,10.126,-58.400,69.800,24.300,-1.195,2.555,0.062
2019-05-26-01:54:31.724427,0.328,-0.179,10.086,-58.200,71.300,26.300,-1.195,2.797,0.062
2019-05-26-01:54:31.834287,0.316,-0.165,10.124,-57.500,70.400,24.500,-1.297,2.445,0.055
2019-05-26-01:54:31.945858,0.357,-0.215,10.143,-58.000,70.800,24.400,-1.094,2.586,0.039
2019-05-26-01:54:32.055498,0.328,-0.220,10.126,-57.500,70.000,25.700,-1.070,2.609,-0.055
2019-05-26-01:54:32.165044,0.297,-0.309,10.131,-58.000,71.300,25.100,-0.680,2.742,-0.305
2019-05-26-01:54:32.279448,0.340,-0.196,10.091,-57.400,69.600,26.100,-1.406,2.398,-0.320
2019-05-26-01:54:32.389224,0.301,-0.182,10.160,-57.200,70.700,24.100,-0.922,2.742,-0.148
2019-05-26-01:54:32.499253,0.376,-0.184,10.122,-58.000,70.000,25.000,-0.828,2.719,-0.094
2019-05-26-01:54:32.609007,0.311,-0.175,10.069,-58.400,70.200,24.900,-0.984,2.781,-0.117
2019-05-26-01:54:32.718603,0.330,-0.246,10.129,-57.700,70.000,24.100,-1.312,2.938,-0.188
2019-05-26-01:54:32.828377,0.347,-0.179,10.050,-56.600,68.600,22.900,-0.984,2.805,-0.234
2019-05-26-01:54:32.938437,0.352,-0.163,10.117,-56.900,70.000,22.600,-0.867,2.891,-0.125
2019-05-26-01:54:33.048075,0.318,-0.132,10.059,-57.900,69.500,21.500,-1.328,2.594,-0.148
2019-05-26-01:54:33.157743,0.452,-0.251,10.303,-58.000,71.000,25.200,-1.188,2.633,-0.234
2019-05-26-01:54:33.267364,0.354,-0.261,10.107,-56.800,70.000,24.100,-1.016,2.969,-0.164
2019-05-26-01:54:33.377206,0.342,-0.074,10.014,-57.400,70.400,24.000,-0.969,2.852,-0.453
2019-05-26-01:54:33.487038,0.400,-0.105,10.126,-57.900,70.100,25.600,-1.312,2.547,-0.117
2019-05-26-01:54:33.596721,0.301,-0.227,10.131,-57.600,70.400,25.200,-1.250,2.781,-0.125
2019-05-26-01:54:33.706790,0.361,-0.258,10.232,-56.100,69.600,24.700,-0.586,2.906,0.102
2019-05-26-01:54:33.816601,0.368,-0.215,10.136,-56.800,69.500,24.200,-0.891,2.742,-0.117
2019-05-26-01:54:33.926398,0.335,-0.223,10.110,-57.300,68.400,23.700,-0.898,2.758,-0.008
2019-05-26-01:54:34.036494,0.335,-0.156,10.143,-53.500,67.500,20.200,-0.961,2.656,-0.047
2019-05-26-01:54:34.146519,0.313,-0.215,10.102,-46.400,58.700,7.500,-1.445,2.766,-0.094
2019-05-26-01:54:34.256152,0.352,-0.177,10.062,-40.000,53.700,3.700,-0.867,2.570,-0.164
2019-05-26-01:54:34.366035,0.292,-0.232,10.138,-41.200,52.500,5.900,-1.867,2.773,0.133
2019-05-26-01:54:34.476089,0.440,-0.175,10.110,-35.200,48.900,5.000,-4.953,3.156,0.219
2019-05-26-01:54:34.585814,0.364,-0.184,10.260,-33.500,46.200,5.100,0.242,2.883,-0.047
2019-05-26-01:54:34.695435,0.297,-0.163,10.055,-28.700,39.800,3.700,-1.414,2.617,0.062
2019-05-26-01:54:34.805064,0.335,-0.191,10.095,-24.400,31.300,4.400,-3.516,2.312,-0.391
2019-05-26-01:54:34.915069,0.340,-0.196,10.256,-18.000,18.900,2.600,-1.844,2.844,-0.047
2019-05-26-01:54:35.024757,0.323,-0.203,10.031,-14.500,11.900,2.500,-1.188,2.758,0.195
2019-05-26-01:54:35.134505,0.342,-0.225,10.177,-11.000,6.800,2.700,-1.180,2.594,-0.203
2019-05-26-01:54:35.250578,0.311,-0.182,10.112,-9.200,5.000,1.600,-0.742,2.734,-0.094
2019-05-26-01:54:35.360450,0.323,-0.184,10.107,-9.100,3.900,1.000,-0.719,2.914,-0.227
2019-05-26-01:54:35.470123,0.357,-0.187,10.138,-9.700,5.300,0.400,-1.453,2.883,-0.211
2019-05-26-01:54:35.579714,0.333,-0.199,10.122,-11.300,7.000,2.300,-1.047,2.781,-0.297
2019-05-26-01:54:35.689347,0.342,-0.170,10.124,-16.100,11.000,2.400,-1.289,2.617,0.031
2019-05-26-01:54:35.798961,0.328,-0.201,10.122,-17.500,16.900,-1.500,-0.852,2.883,-0.008
2019-05-26-01:54:35.908622,0.345,-0.194,10.119,-18.700,21.800,-2.200,-1.062,2.695,-0.234
2019-05-26-01:54:36.018245,0.321,-0.191,10.112,-19.300,26.700,-3.100,-1.266,2.500,0.008
2019-05-26-01:54:36.128164,0.345,-0.194,10.150,-18.700,31.000,-3.900,-1.016,2.969,0.195
2019-05-26-01:54:36.237828,0.318,-0.184,10.131,-18.600,31.200,-4.200,-1.383,2.422,-0.297
2019-05-26-01:54:36.347569,0.328,-0.199,10.143,-19.800,32.400,-4.000,-0.891,2.648,-0.125
2019-05-26-01:54:36.462561,0.318,-0.187,10.114,-20.900,32.300,-6.300,-1.008,2.867,-0.078
2019-05-26-01:54:36.572199,0.347,-0.191,10.122,-20.500,30.800,-6.500,-1.078,2.875,0.031
2019-05-26-01:54:36.681801,0.337,-0.199,10.131,-21.600,28.000,-4.200,-0.656,2.828,-0.203
2019-05-26-01:54:36.791558,0.321,-0.191,10.102,-20.500,28.000,-3.400,-1.156,2.805,-0.102
2019-05-26-01:54:36.901260,0.328,-0.211,10.138,-20.000,26.700,-2.700,-1.078,2.836,0.039
2019-05-26-01:54:37.010942,0.335,-0.225,10.014,-20.000,28.100,-1.800,-0.883,3.125,-0.070
2019-05-26-01:54:37.120651,0.328,-0.191,10.112,-19.300,28.600,-0.900,-0.781,2.508,-0.117
2019-05-26-01:54:37.230128,0.311,-0.227,10.117,-18.800,29.000,0.400,-1.055,2.703,0.039
2019-05-26-01:54:37.344438,0.368,-0.201,10.098,-17.100,28.100,5.700,-1.227,2.562,-0.203
2019-05-26-01:54:37.454002,0.364,-0.182,10.100,-15.300,25.800,8.800,-1.039,2.938,-0.102
2019-05-26-01:54:37.563817,0.318,-0.191,10.143,-13.300,25.000,11.100,-0.617,2.688,0.078
2019-05-26-01:54:37.673818,0.304,-0.196,10.134,-14.600,27.100,10.200,-0.766,2.734,-0.023
2019-05-26-01:54:37.783611,0.321,-0.184,10.102,-18.000,29.600,2.000,-0.945,2.914,-0.359
2019-05-26-01:54:37.893342,0.318,-0.189,10.117,-23.900,25.000,-4.700,-1.266,2.820,-0.055
2019-05-26-01:54:38.002912,0.335,-0.189,10.126,-23.200,16.100,-3.800,-0.828,2.781,-0.117
2019-05-26-01:54:38.112487,0.325,-0.179,10.112,-20.600,9.400,-3.200,-0.906,2.773,0.172
2019-05-26-01:54:38.221961,0.337,-0.213,10.076,-15.100,3.300,-2.600,-0.492,2.836,0.172
2019-05-26-01:54:38.331564,0.337,-0.189,10.143,-12.700,0.300,0.200,-1.180,2.891,-0.031
2019-05-26-01:54:38.441119,0.256,-0.148,10.043,-11.100,0.500,0.200,-1.117,2.703,0.031
2019-05-26-01:54:38.551090,0.368,-0.239,10.217,-11.300,-1.100,0.500,-0.562,2.797,-0.047
2019-05-26-01:54:38.660732,0.318,-0.182,10.093,-12.800,-0.400,-1.000,-0.938,2.594,-0.281
2019-05-26-01:54:38.770246,0.357,-0.220,10.122,-12.700,-1.500,-1.800,-1.141,2.820,-0.164
2019-05-26-01:54:38.880191,0.333,-0.134,10.126,-16.300,-0.700,-3.300,-1.008,2.594,-0.125
2019-05-26-01:54:38.989762,0.316,-0.179,10.179,-21.200,0.600,-5.500,-1.164,2.438,-0.031
2019-05-26-01:54:39.099424,0.376,-0.206,10.191,-24.400,6.500,-7.300,-0.992,2.938,-0.148
2019-05-26-01:54:39.209073,0.335,-0.187,10.143,-27.700,14.200,-5.200,-0.680,2.914,-0.258
2019-05-26-01:54:39.318647,0.299,-0.191,10.112,-24.800,20.000,1.700,-1.008,2.758,-0.125
2019-05-26-01:54:39.428507,0.340,-0.201,10.131,-21.600,22.300,11.600,-0.945,2.727,0.195
2019-05-26-01:54:39.538287,0.325,-0.187,10.129,-19.000,23.100,18.600,-0.992,2.844,-0.203
2019-05-26-01:54:39.647904,0.345,-0.220,10.129,-17.100,24.200,22.200,-1.312,2.656,-0.102
2019-05-26-01:54:39.757820,0.316,-0.194,10.112,-16.300,31.300,22.300,-1.016,2.570,-0.273
2019-05-26-01:54:39.867767,0.323,-0.201,10.114,-15.700,45.300,29.200,-0.945,2.656,-0.031
2019-05-26-01:54:39.977349,-0.089,-0.266,10.976,-15.900,58.200,42.200,-0.242,3.211,-0.195
2019-05-26-01:54:40.087350,0.352,-0.031,10.306,-15.300,59.400,47.400,-0.641,3.211,-0.250
2019-05-26-01:54:40.196933,0.311,-0.234,10.155,-13.900,56.200,47.600,-1.234,2.672,-0.117
2019-05-26-01:54:40.315907,0.309,-0.146,10.141,-15.600,48.600,55.900,-1.000,2.578,0.031
2019-05-26-01:54:40.425658,0.349,-0.218,9.887,-14.400,37.800,63.900,-1.141,3.125,-0.273
2019-05-26-01:54:40.535550,0.371,-0.163,10.093,-13.200,36.300,65.300,-0.781,3.109,-0.453
2019-05-26-01:54:40.645142,0.383,-0.151,9.727,-14.200,36.900,66.100,-0.586,2.672,-0.359
2019-05-26-01:54:40.754616,0.347,-0.148,9.990,-13.600,35.700,67.900,-1.094,2.422,-0.258
2019-05-26-01:54:40.870617,0.335,-0.237,10.270,-13.100,35.500,67.500,-1.000,2.664,0.109
2019-05-26-01:54:40.980203,0.309,-0.196,10.102,-14.700,36.200,66.100,-0.680,2.641,0.109
2019-05-26-01:54:41.089747,0.349,-0.175,10.119,-13.800,35.200,66.400,-0.852,2.594,-0.203
2019-05-26-01:54:41.199256,0.318,-0.203,10.112,-14.100,34.300,67.400,-1.102,2.469,0.031
2019-05-26-01:54:41.309207,0.347,-0.208,10.136,-13.900,35.500,67.400,-1.109,2.820,-0.148
2019-05-26-01:54:41.419012,0.335,-0.199,10.112,-13.900,35.500,67.300,-0.594,2.797,0.031
2019-05-26-01:54:41.528859,0.349,-0.196,10.119,-13.900,35.900,66.900,-0.992,2.672,-0.023
2019-05-26-01:54:41.638445,0.325,-0.206,10.143,-13.900,35.400,65.900,-0.938,2.742,-0.031
2019-05-26-01:54:41.748004,0.309,-0.191,10.107,-14.300,35.500,67.700,-0.938,2.797,-0.125
2019-05-26-01:54:41.857829,0.335,-0.196,10.146,-13.600,35.500,67.700,-1.312,2.539,-0.328
2019-05-26-01:54:41.967404,0.330,-0.206,10.117,-13.400,35.200,66.500,-1.117,2.484,-0.094
2019-05-26-01:54:42.077340,0.328,-0.179,10.112,-14.300,35.400,68.300,-0.852,2.898,0.133
2019-05-26-01:54:42.187099,0.318,-0.211,10.138,-13.900,35.200,68.100,-1.117,2.523,-0.141
2019-05-26-01:54:42.297096,0.438,-0.285,10.146,-13.700,35.000,66.000,-0.922,2.820,1.289
2019-05-26-01:54:42.407109,-0.330,-0.084,10.083,-15.400,34.700,66.600,-0.852,2.555,-1.234
2019-05-26-01:54:42.517186,1.043,0.299,10.119,-21.900,29.500,65.200,0.328,2.773,-22.484
2019-05-26-01:54:42.626820,0.974,0.184,10.189,-26.600,24.600,62.400,-1.664,2.289,-4.828
2019-05-26-01:54:42.736405,0.536,-0.378,10.179,-33.400,20.000,59.500,2.539,2.344,13.883
2019-05-26-01:54:42.846265,0.605,-0.237,10.138,-42.000,15.200,48.800,-3.266,3.281,8.391
2019-05-26-01:54:42.956102,0.983,-0.158,10.114,-46.500,9.200,35.800,0.812,2.359,-6.297
2019-05-26-01:54:43.065657,0.335,-0.282,10.117,-45.600,3.200,22.500,-0.008,2.414,-2.281
2019-05-26-01:54:43.175208,0.146,-0.546,10.069,-42.900,-2.700,10.400,-1.062,2.750,-2.297
2019-05-26-01:54:43.285148,0.790,-0.321,10.126,-38.800,-6.700,0.900,-1.312,2.812,-3.883
2019-05-26-01:54:43.394910,0.462,-0.187,10.143,-38.400,-7.400,-0.200,-1.086,2.766,-9.281
2019-05-26-01:54:43.504698,0.237,-0.234,10.119,-40.200,-7.400,-1.000,-1.031,2.766,-6.242
2019-05-26-01:54:43.614476,-0.182,-0.273,10.134,-39.800,-7.300,0.900,-1.633,2.883,7.609
2019-05-26-01:54:43.724600,0.024,-0.167,10.122,-35.500,-7.500,-5.600,-1.289,2.828,14.945
2019-05-26-01:54:43.834443,0.806,-0.400,10.196,-22.200,-10.800,-16.000,-1.656,2.789,6.625
2019-05-26-01:54:43.944031,0.450,-0.419,10.119,-17.300,-9.500,-19.200,-1.148,2.586,6.961
2019-05-26-01:54:44.053548,1.048,0.153,10.138,-12.300,-8.200,-21.000,-1.086,2.836,-3.031
2019-05-26-01:54:44.163060,0.885,-0.132,10.107,-14.900,-8.800,-20.400,-0.938,2.797,-10.492
2019-05-26-01:54:44.272652,0.251,-0.301,10.138,-23.000,-9.900,-17.700,-0.672,2.922,-16.547
2019-05-26-01:54:44.382489,0.199,-0.206,10.114,-28.000,-10.600,-13.800,-0.680,2.555,-12.430
2019-05-26-01:54:44.492610,0.072,-0.337,10.088,-30.900,-8.100,-11.800,-0.742,2.695,8.172
2019-05-26-01:54:44.602373,0.218,-0.424,10.093,-31.700,-9.300,-11.000,-0.875,3.039,3.375
2019-05-26-01:54:44.711912,0.282,-0.167,10.124,-32.000,-8.800,-11.200,0.234,2.641,1.117
2019-05-26-01:54:44.821437,0.392,-0.041,10.112,-34.300,-8.500,-8.700,-0.781,2.422,6.359
2019-05-26-01:54:44.931411,0.366,-0.211,10.148,-34.300,-7.700,-8.400,-1.164,2.797,-0.078
2019-05-26-01:54:45.040988,0.337,-0.179,10.124,-34.900,-7.900,-7.400,-0.961,2.633,-1.805
2019-05-26-01:54:45.150460,0.349,-0.220,10.131,-34.200,-7.500,-7.100,-0.648,2.711,-0.344
2019-05-26-01:54:45.260009,0.342,-0.211,10.126,-34.600,-7.700,-7.000,-1.508,2.367,-0.297
2019-05-26-01:54:45.369770,0.340,-0.203,10.114,-34.200,-7.600,-7.900,-1.336,2.484,-0.078
2019-05-26-01:54:45.479462,0.335,-0.196,10.134,-34.300,-7.700,-7.800,-0.984,2.633,-0.031
2019-05-26-01:54:45.589163,0.330,-0.213,10.134,-34.900,-7.400,-7.700,-1.469,2.680,-0.094
2019-05-26-01:54:45.699158,0.321,-0.206,10.095,-33.900,-6.800,-7.500,-1.203,2.852,-0.164
2019-05-26-01:54:45.808872,0.333,-0.215,10.136,-34.900,-6.500,-7.000,-0.992,2.648,0.031
2019-05-26-01:54:45.918644,0.321,-0.218,10.110,-33.900,-8.700,-8.800,-1.352,2.844,-0.227
2019-05-26-01:54:46.028195,0.328,-0.213,10.119,-33.300,-7.100,-8.600,-1.117,2.805,-0.180
2019-05-26-01:54:46.138138,0.330,-0.206,10.143,-34.100,-7.300,-8.500,-1.133,2.719,-0.125
2019-05-26-01:54:46.247735,0.335,-0.201,10.091,-34.700,-7.600,-7.300,-0.727,2.797,-0.047
2019-05-26-01:54:46.357460,0.359,-0.203,10.131,-34.100,-6.900,-6.900,-1.211,2.805,-0.047
2019-05-26-01:54:46.467135,0.321,-0.215,10.119,-34.300,-6.600,-8.800,-0.992,2.711,-0.227
2019-05-26-01:54:46.576949,0.349,-0.206,10.129,-34.300,-7.200,-9.100,-0.867,2.672,-0.180
2019-05-26-01:54:46.686629,0.347,-0.203,10.117,-33.800,-7.000,-8.600,-0.656,2.758,-0.227
2019-05-26-01:54:46.796174,0.318,-0.213,10.114,-34.900,-6.900,-8.400,-0.844,2.797,-0.188
2019-05-26-01:54:46.906237,0.333,-0.196,10.124,-34.600,-7.000,-7.000,-0.898,2.969,0.008
2019-05-26-01:54:47.015902,0.335,-0.218,10.122,-34.900,-6.800,-8.400,-1.109,2.656,-0.211
2019-05-26-01:54:47.125416,0.342,-0.203,10.105,-34.800,-6.700,-7.800,-1.188,2.648,-0.148
2019-05-26-01:54:47.234996,0.347,-0.223,10.143,-34.200,-8.300,-8.700,-1.008,2.766,-0.023
2019-05-26-01:54:47.344900,0.309,-0.218,10.124,-33.900,-7.300,-8.500,-0.891,2.625,-0.211
2019-05-26-01:54:47.454512,0.330,-0.194,10.114,-34.100,-7.100,-9.100,-1.109,2.633,-0.227
2019-05-26-01:54:47.570332,0.325,-0.196,10.091,-34.500,-7.500,-7.600,-0.914,2.828,-0.055
2019-05-26-01:54:47.679913,0.325,-0.201,10.117,-35.000,-8.000,-6.500,-0.984,2.586,-0.023
2019-05-26-01:54:47.789426,0.330,-0.206,10.129,-34.700,-6.800,-7.600,-1.016,2.633,-0.125
2019-05-26-01:54:47.899106,0.325,-0.194,10.119,-34.600,-9.000,-6.900,-0.812,2.922,0.039
2019-05-26-01:54:48.008804,0.361,-0.199,10.136,-34.000,-8.200,-7.700,-1.047,2.617,0.195
2019-05-26-01:54:48.118874,0.345,-0.211,10.107,-34.300,-7.700,-7.500,-1.047,2.633,-0.164
2019-05-26-01:54:48.228476,0.345,-0.199,10.129,-35.000,-7.000,-8.800,-0.945,2.594,0.008
2019-05-26-01:54:48.338124,0.342,-0.211,10.126,-34.000,-7.000,-8.700,-0.984,2.422,-0.148
2019-05-26-01:54:48.447776,0.347,-0.213,10.102,-34.000,-7.100,-8.200,-0.961,2.609,-0.211
2019-05-26-01:54:48.557772,0.359,-0.203,10.129,-34.400,-7.200,-9.400,-0.938,2.852,-0.117
2019-05-26-01:54:48.667391,0.333,-0.208,10.136,-35.200,-7.700,-7.900,-0.930,2.898,0.086
2019-05-26-01:54:48.779145,0.357,-0.208,10.153,-34.500,-7.500,-7.500,-0.945,2.672,-0.102
2019-05-26-01:54:48.889005,0.323,-0.215,10.146,-34.000,-7.000,-8.700,-1.094,2.508,-0.203
2019-05-26-01:54:48.999708,0.330,-0.199,10.095,-34.500,-7.200,-7.300,-1.094,2.633,-0.094
2019-05-26-01:54:49.109790,0.349,-0.203,10.153,-34.300,-8.800,-7.600,-1.062,2.625,-0.055
2019-05-26-01:54:49.219511,0.349,-0.208,10.136,-34.100,-7.100,-8.700,-1.117,2.633,-0.391
2019-05-26-01:54:49.329549,0.325,-0.203,10.110,-33.700,-7.300,-7.700,-1.070,2.656,-0.430
2019-05-26-01:54:49.439454,0.340,-0.211,10.146,-35.000,-7.200,-6.900,-0.961,2.734,-0.273
2019-05-26-01:54:49.549296,0.337,-0.213,10.119,-34.300,-7.700,-7.500,-0.961,2.883,-0.391
2019-05-26-01:54:49.658975,0.337,-0.232,10.131,-35.300,-7.200,-8.700,-0.727,2.672,-0.055
2019-05-26-01:54:49.769065,0.340,-0.232,10.146,-35.000,-7.600,-6.700,-1.188,2.852,-0.148
2019-05-26-01:54:49.878912,0.340,-0.196,10.086,-35.500,-7.000,-9.000,-0.867,2.805,-0.164
2019-05-26-01:54:49.988561,0.328,-0.237,10.165,-34.600,-8.300,-7.300,-0.633,2.672,-0.148
2019-05-26-01:54:50.098109,0.361,-0.218,10.138,-47.700,-3.400,37.100,-0.617,3.023,-0.125
2019-05-26-01:54:50.207628,0.357,-0.213,10.114,-19.800,-6.300,-14.100,-1.500,2.523,-0.203
2019-05-26-01:54:50.317166,0.345,-0.201,10.124,1.500,-4.600,-10.300,-1.016,2.844,-0.125
2019-05-26-01:54:50.426881,0.330,-0.206,10.122,15.900,-2.100,21.300,-1.547,2.625,-0.258
2019-05-26-01:54:50.537065,0.323,-0.215,10.126,3.300,0.300,67.800,-1.305,2.742,-0.164
2019-05-26-01:54:50.646663,0.330,-0.206,10.105,-42.600,-4.600,45.800,-1.359,2.734,-0.078
2019-05-26-01:54:50.756190,0.337,-0.215,10.136,-12.700,-5.200,-14.900,-0.633,2.781,-0.164
2019-05-26-01:54:50.866039,0.340,-0.208,10.122,14.300,0.400,57.200,-1.062,2.969,-0.180
2019-05-26-01:54:50.976113,0.330,-0.206,10.119,-45.800,-5.200,27.700,-1.156,2.891,-0.211
2019-05-26-01:54:51.085705,0.340,-0.203,10.153,10.500,-4.500,2.300,-1.039,2.625,-0.008
2019-05-26-01:54:51.195214,0.318,-0.223,10.093,-4.100,-2.700,60.000,-1.094,2.680,-0.094
2019-05-26-01:54:51.304765,0.325,-0.191,10.117,17.800,-2.000,26.900,-0.586,2.883,-0.234
2019-05-26-01:54:51.414609,0.328,-0.194,10.098,-32.100,-6.500,-7.500,-1.188,2.656,-0.258
2019-05-26-01:54:51.524551,0.328,-0.206,10.134,-32.400,-1.900,62.400,-1.070,2.805,-0.281
2019-05-26-01:54:51.634226,0.311,-0.213,10.129,6.200,-0.600,60.200,-1.500,2.609,-0.227
2019-05-26-01:54:51.744304,0.321,-0.211,10.102,21.100,-1.900,23.200,-1.094,2.742,-0.094
2019-05-26-01:54:51.854151,0.337,-0.215,10.114,5.100,-3.500,-2.300,-0.984,2.867,-0.234
2019-05-26-01:54:51.963756,0.325,-0.213,10.119,0.200,-5.400,-10.700,-1.258,2.727,0.055
2019-05-26-01:54:52.073287,0.347,-0.201,10.131,-2.000,-5.100,-9.300,-0.750,2.773,0.078
2019-05-26-01:54:52.183205,0.359,-0.215,10.095,10.700,-4.100,-3.200,-1.008,2.711,-0.070
2019-05-26-01:54:52.292895,0.347,-0.203,10.091,-3.100,-8.200,-21.800,-1.047,2.711,-0.320
2019-05-26-01:54:52.402623,0.328,-0.191,10.114,-16.700,-0.800,68.300,-1.164,2.672,0.008
2019-05-26-01:54:52.512514,0.335,-0.211,10.119,-26.000,-7.000,-13.000,-1.492,2.227,-0.234
2019-05-26-01:54:52.626111,0.488,-0.359,10.167,5.200,0.900,65.000,-1.008,2.844,-0.188
2019-05-26-01:54:52.735717,0.581,-0.335,10.306,-23.800,-6.300,-11.200,0.461,3.719,-0.109
2019-05-26-01:54:52.845432,0.268,-0.218,9.966,-26.800,-2.900,62.800,-0.273,3.320,-0.398
2019-05-26-01:54:52.955455,0.299,-0.184,9.978,21.700,-1.900,30.000,-0.727,3.148,-0.523
2019-05-26-01:54:53.065034,0.316,-0.158,10.062,-15.800,-6.000,-14.600,-0.508,3.250,-0.492
2019-05-26-01:54:53.174553,0.402,-0.201,10.069,-43.400,-6.000,10.500,-0.219,3.406,-0.656
