Time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Magnetometer X (uTesla), Magnetometer Y (uTesla)  , Magnetometer Z (uTesla),Gyroscope X (radians/s), Gyroscope Y (radians/s), Gyroscope Z (radians/s)
2019-06-09-14:27:33.971278,0.694,-0.359,10.117,11.200,39.200,30.000,-0.734,2.883,0.148
2019-06-09-14:27:33.990680,0.699,-0.383,10.143,11.300,38.400,28.900,-0.930,2.789,0.188
2019-06-09-14:27:34.010104,0.689,-0.371,10.172,11.400,39.700,29.900,-1.094,2.516,0.086
2019-06-09-14:27:34.029561,0.692,-0.361,10.150,11.300,38.500,28.800,-0.898,2.531,0.062
2019-06-09-14:27:34.048925,0.684,-0.376,10.150,11.000,38.800,29.300,-0.703,2.914,-0.023
2019-06-09-14:27:34.068282,0.696,-0.378,10.169,11.100,39.300,29.000,-0.484,2.836,0.125
2019-06-09-14:27:34.087716,0.680,-0.373,10.131,11.300,38.500,30.200,-0.852,2.922,0.156
2019-06-09-14:27:34.107625,0.692,-0.395,10.134,11.700,38.600,28.700,-0.562,2.734,-0.031
2019-06-09-14:27:34.127106,0.692,-0.390,10.148,10.700,38.700,29.900,-0.789,2.969,0.172
2019-06-09-14:27:34.146476,0.692,-0.397,10.129,9.800,38.200,28.700,-0.609,2.875,0.219
2019-06-09-14:27:34.165908,0.708,-0.380,10.162,11.000,39.100,30.300,-1.086,2.711,-0.164
2019-06-09-14:27:34.185258,0.701,-0.373,10.148,11.400,38.000,28.900,-0.828,2.758,0.195
2019-06-09-14:27:34.204627,0.696,-0.380,10.162,10.600,39.400,29.500,-1.094,2.820,0.039
2019-06-09-14:27:34.224137,0.699,-0.388,10.167,12.400,38.500,29.500,-1.000,2.672,0.125
2019-06-09-14:27:34.243516,0.711,-0.385,10.129,11.300,39.500,29.200,-0.555,2.828,-0.031
2019-06-09-14:27:34.262873,0.658,-0.301,10.055,11.000,39.000,28.700,-1.172,2.930,0.289
2019-06-09-14:27:34.282289,0.648,-0.290,10.074,12.200,38.300,29.700,-1.094,2.852,-0.008
2019-06-09-14:27:34.301687,0.653,-0.311,10.079,11.300,38.800,29.000,-1.164,2.766,-0.047
2019-06-09-14:27:34.321223,0.651,-0.301,10.079,10.800,38.700,29.000,-0.836,2.898,0.062
2019-06-09-14:27:34.340592,0.646,-0.294,10.076,11.300,38.800,29.800,-0.930,2.961,0.172
2019-06-09-14:27:34.359914,0.660,-0.306,10.076,11.100,39.200,30.900,-0.812,3.016,0.133
2019-06-09-14:27:34.379336,0.646,-0.294,10.081,12.000,38.800,31.300,-0.711,3.016,0.305
2019-06-09-14:27:34.398782,0.653,-0.292,10.088,11.200,38.900,30.300,-0.531,2.836,0.328
2019-06-09-14:27:34.418213,0.668,-0.321,10.088,10.900,39.600,29.500,-0.805,2.617,0.266
2019-06-09-14:27:34.437669,0.653,-0.313,10.102,10.800,39.200,30.000,-0.836,2.617,0.195
2019-06-09-14:27:34.457059,0.668,-0.316,10.095,11.000,38.700,30.100,-0.953,2.758,0.062
2019-06-09-14:27:34.476541,0.672,-0.333,10.119,11.400,38.700,29.600,-0.828,2.961,0.148
2019-06-09-14:27:34.499192,0.663,-0.337,10.105,11.300,38.700,28.200,-1.109,3.047,0.156
2019-06-09-14:27:34.518783,0.672,-0.335,10.100,10.700,38.400,28.200,-1.055,2.820,0.125
2019-06-09-14:27:34.538203,0.699,-0.357,10.124,10.700,39.100,29.900,-0.852,2.836,0.242
2019-06-09-14:27:34.557661,0.665,-0.359,10.136,11.600,39.300,31.100,-0.773,2.734,0.414
2019-06-09-14:27:34.577037,0.675,-0.342,10.129,10.800,40.200,29.500,-0.922,2.734,0.078
2019-06-09-14:27:34.596396,0.684,-0.349,10.098,11.900,38.100,29.200,-0.789,2.930,0.102
2019-06-09-14:27:34.615828,0.677,-0.345,10.148,11.500,39.300,29.800,-0.758,2.797,0.109
2019-06-09-14:27:34.635251,0.677,-0.364,10.146,11.000,39.200,28.400,-0.586,2.703,0.148
2019-06-09-14:27:34.654910,0.692,-0.378,10.141,12.200,39.900,29.300,-0.812,2.688,0.133
2019-06-09-14:27:34.674467,0.692,-0.349,10.129,10.700,40.400,28.300,-1.430,2.750,0.258
2019-06-09-14:27:34.693891,0.658,-0.378,10.143,11.700,38.800,29.000,-0.953,3.047,0.086
2019-06-09-14:27:34.713316,0.651,-0.285,10.062,10.500,39.900,28.000,-1.117,2.516,0.109
2019-06-09-14:27:34.732747,0.663,-0.294,10.057,11.600,38.700,29.200,-0.922,2.641,0.086
2019-06-09-14:27:34.752134,0.646,-0.290,10.076,11.900,38.300,30.100,-1.125,2.859,0.031
2019-06-09-14:27:34.771592,0.663,-0.301,10.071,11.600,39.300,29.900,-0.594,2.992,0.133
2019-06-09-14:27:34.790944,0.656,-0.292,10.071,10.900,39.400,29.300,-0.898,2.906,0.125
2019-06-09-14:27:34.810295,0.648,-0.273,10.045,10.700,39.400,28.500,-0.828,2.484,-0.070
2019-06-09-14:27:34.829707,0.646,-0.280,10.055,10.100,39.700,28.500,-0.688,2.734,0.102
2019-06-09-14:27:34.849082,0.646,-0.261,10.038,10.900,39.000,29.500,-0.180,2.875,0.211
2019-06-09-14:27:34.868446,0.639,-0.268,10.012,10.500,39.000,28.900,-0.875,2.922,0.211
2019-06-09-14:27:34.887865,0.656,-0.294,10.040,10.800,38.400,29.000,-0.594,2.773,0.039
2019-06-09-14:27:34.907291,0.651,-0.280,10.062,10.200,38.700,28.900,-0.984,3.102,0.078
2019-06-09-14:27:34.926662,0.644,-0.282,10.064,11.400,38.600,28.000,-0.547,2.836,0.109
2019-06-09-14:27:34.946093,0.663,-0.301,10.069,10.900,39.000,29.000,-0.672,2.648,-0.117
2019-06-09-14:27:34.965711,0.629,-0.273,10.069,11.100,38.800,29.200,-0.938,2.820,-0.055
2019-06-09-14:27:34.985127,0.658,-0.311,10.064,11.400,39.100,28.400,-0.992,2.750,0.156
2019-06-09-14:27:35.004475,0.634,-0.290,10.064,10.600,39.400,29.700,-0.977,3.078,-0.047
2019-06-09-14:27:35.023832,0.689,-0.364,10.138,11.000,38.900,30.300,-0.703,2.656,-0.023
2019-06-09-14:27:35.043233,0.706,-0.366,10.131,11.600,39.600,29.300,-0.547,2.617,0.062
2019-06-09-14:27:35.062592,0.703,-0.361,10.150,11.100,39.900,28.800,-0.562,2.922,0.219
2019-06-09-14:27:35.081977,0.692,-0.349,10.102,10.900,39.500,29.300,-0.617,2.859,0.086
2019-06-09-14:27:35.101464,0.711,-0.342,10.119,11.000,38.600,28.700,-0.883,2.539,0.055
2019-06-09-14:27:35.120815,0.677,-0.366,10.114,10.900,39.000,29.200,-0.836,2.703,0.031
2019-06-09-14:27:35.140194,0.689,-0.354,10.117,10.900,38.800,29.800,-0.531,2.789,-0.023
2019-06-09-14:27:35.159622,0.682,-0.337,10.126,11.500,38.600,30.100,-0.828,2.836,0.078
2019-06-09-14:27:35.178962,0.684,-0.328,10.117,11.300,39.100,30.500,-1.344,2.883,0.109
2019-06-09-14:27:35.198310,0.670,-0.321,10.105,11.800,39.300,30.300,-1.016,2.633,-0.094
2019-06-09-14:27:35.226806,0.684,-0.323,10.107,11.500,39.000,28.900,-0.727,2.453,0.328
2019-06-09-14:27:35.246366,0.665,-0.323,10.124,11.000,39.300,27.900,-0.977,2.578,0.172
2019-06-09-14:27:35.265820,0.694,-0.342,10.117,11.000,40.000,29.600,-0.969,2.625,-0.031
2019-06-09-14:27:35.285178,0.677,-0.364,10.107,10.800,40.100,29.500,-0.750,2.672,0.148
2019-06-09-14:27:35.307964,0.670,-0.337,10.112,12.000,38.600,28.800,-0.977,3.070,0.102
2019-06-09-14:27:35.327423,0.684,-0.357,10.124,11.100,39.200,29.000,-1.094,3.086,-0.047
2019-06-09-14:27:35.346865,0.684,-0.373,10.131,11.100,38.900,29.200,-0.656,2.961,0.148
2019-06-09-14:27:35.366229,0.682,-0.345,10.148,10.800,40.400,29.500,-0.984,2.883,-0.047
2019-06-09-14:27:35.385608,0.696,-0.378,10.148,10.500,39.300,29.700,-0.992,2.711,0.062
2019-06-09-14:27:35.404964,0.694,-0.366,10.141,12.000,39.300,29.300,-1.062,2.930,-0.047
2019-06-09-14:27:35.424325,0.646,-0.383,10.131,11.000,38.800,29.100,-0.727,2.672,-0.141
2019-06-09-14:27:35.444070,0.648,-0.290,10.035,11.400,38.000,30.000,-0.930,3.125,-0.117
2019-06-09-14:27:35.463607,0.639,-0.278,10.062,11.100,38.900,28.900,-1.070,2.805,-0.211
2019-06-09-14:27:35.483057,0.641,-0.278,10.071,10.600,39.100,28.700,-0.758,2.758,0.172
2019-06-09-14:27:35.502446,0.656,-0.273,10.064,11.800,38.700,30.600,-0.992,2.867,-0.117
2019-06-09-14:27:35.521810,0.656,-0.285,10.071,11.500,39.000,29.500,-0.781,2.812,0.148
2019-06-09-14:27:35.541376,0.644,-0.285,10.067,11.000,40.300,29.700,-1.195,2.734,0.062
2019-06-09-14:27:35.560792,0.648,-0.290,10.067,10.800,38.400,28.600,-0.984,2.586,-0.031
2019-06-09-14:27:35.580174,0.660,-0.285,10.076,11.600,39.300,30.200,-1.000,2.562,0.086
2019-06-09-14:27:35.599637,0.646,-0.280,10.062,11.200,38.100,28.500,-0.734,2.820,0.156
2019-06-09-14:27:35.619002,0.663,-0.282,10.076,11.800,39.500,29.100,-0.531,2.898,0.133
2019-06-09-14:27:35.638378,0.656,-0.287,10.083,11.200,38.300,28.900,-0.977,2.883,0.172
2019-06-09-14:27:35.657914,0.648,-0.287,10.088,11.500,39.300,29.100,-1.164,2.906,0.305
2019-06-09-14:27:35.677298,0.660,-0.299,10.057,11.100,38.600,28.600,-0.930,2.836,0.367
2019-06-09-14:27:35.699975,0.648,-0.297,10.088,11.700,38.800,29.700,-0.922,2.727,0.234
2019-06-09-14:27:35.719694,0.646,-0.313,10.088,12.300,38.100,28.200,-0.930,2.844,0.055
2019-06-09-14:27:35.739097,0.665,-0.313,10.083,11.300,39.100,28.300,-1.000,2.750,0.016
2019-06-09-14:27:35.758533,0.648,-0.313,10.081,11.900,39.000,28.200,-0.750,2.883,0.039
2019-06-09-14:27:35.777887,0.672,-0.316,10.091,12.000,38.000,29.700,-0.461,2.500,0.156
2019-06-09-14:27:35.797245,0.658,-0.323,10.091,12.200,39.500,29.300,-0.984,2.883,-0.070
2019-06-09-14:27:35.816594,0.663,-0.325,10.093,11.200,38.500,29.500,-0.984,2.820,-0.102
2019-06-09-14:27:35.836046,0.670,-0.340,10.102,10.800,38.800,29.400,-1.023,2.602,0.156
2019-06-09-14:27:35.855471,0.663,-0.352,10.105,11.700,38.800,28.700,-1.258,2.758,0.328
2019-06-09-14:27:35.874851,0.687,-0.354,10.105,10.900,38.800,30.300,-0.484,2.922,0.055
2019-06-09-14:27:35.894299,0.665,-0.311,10.110,10.600,39.000,30.500,-0.695,2.625,-0.008
2019-06-09-14:27:35.913673,0.684,-0.318,10.095,11.600,38.500,29.800,-0.633,2.586,0.039
2019-06-09-14:27:35.933038,0.677,-0.299,10.102,10.400,38.800,29.300,-1.164,2.727,0.305
2019-06-09-14:27:35.952474,0.680,-0.318,10.064,11.100,39.000,29.200,-1.188,2.625,0.039
2019-06-09-14:27:35.971985,0.660,-0.297,10.093,12.200,38.500,29.700,-0.812,2.844,0.086
2019-06-09-14:27:35.991500,0.670,-0.301,10.069,11.100,39.100,27.800,-0.898,2.852,-0.180
2019-06-09-14:27:36.012503,0.663,-0.290,10.105,12.300,38.000,29.200,-1.211,2.750,0.266
2019-06-09-14:27:36.031970,0.651,-0.287,10.076,11.200,38.800,28.400,-1.000,2.969,0.156
2019-06-09-14:27:36.051523,0.658,-0.287,10.081,11.600,37.700,29.600,-1.047,2.789,0.461
2019-06-09-14:27:36.070944,0.656,-0.290,10.052,11.500,38.300,28.900,-0.953,2.875,0.086
2019-06-09-14:27:36.090319,0.665,-0.273,10.040,11.000,39.100,30.100,-1.102,2.820,0.188
2019-06-09-14:27:36.109735,0.653,-0.290,10.069,11.100,38.900,29.600,-0.828,2.820,0.016
2019-06-09-14:27:36.129108,0.653,-0.290,10.064,11.100,39.500,30.800,-0.641,2.898,0.148
2019-06-09-14:27:36.148468,0.641,-0.285,10.055,10.900,38.500,30.400,-0.547,2.984,0.086
2019-06-09-14:27:36.167882,0.648,-0.278,10.057,12.100,38.700,29.500,-0.898,2.820,0.305
2019-06-09-14:27:36.187249,0.651,-0.270,10.074,11.100,38.800,29.300,-0.570,2.797,0.188
2019-06-09-14:27:36.206628,0.644,-0.278,10.050,11.500,38.500,27.800,-0.727,3.055,-0.117
2019-06-09-14:27:36.226068,0.665,-0.282,10.064,11.700,39.400,28.800,-1.023,2.898,0.156
2019-06-09-14:27:36.245430,0.653,-0.304,10.067,11.600,38.200,29.000,-0.812,2.906,0.211
2019-06-09-14:27:36.264842,0.696,-0.280,10.067,11.500,38.300,28.500,-0.898,2.586,0.062
2019-06-09-14:27:36.284277,0.677,-0.376,10.162,11.400,38.800,27.800,-0.945,2.898,0.039
2019-06-09-14:27:36.303654,0.706,-0.378,10.160,11.400,38.300,29.700,-0.906,2.727,0.102
2019-06-09-14:27:36.323030,0.701,-0.371,10.138,11.000,38.600,29.100,-1.008,2.758,-0.047
2019-06-09-14:27:36.342461,0.699,-0.366,10.129,12.000,38.200,30.200,-0.969,2.727,0.188
2019-06-09-14:27:36.361875,0.692,-0.359,10.148,11.300,38.600,29.600,-0.547,2.672,0.188
2019-06-09-14:27:36.381343,0.687,-0.376,10.134,11.800,38.900,28.600,-0.852,2.820,-0.008
2019-06-09-14:27:36.400689,0.682,-0.349,10.112,10.900,39.400,28.600,-0.930,3.008,0.156
2019-06-09-14:27:36.420019,0.687,-0.364,10.131,11.300,38.300,29.400,-0.789,2.969,0.102
2019-06-09-14:27:36.439476,0.675,-0.345,10.112,12.200,38.200,29.000,-0.555,3.117,0.188
2019-06-09-14:27:36.458933,0.696,-0.335,10.129,10.700,38.200,29.100,-1.188,2.953,-0.047
2019-06-09-14:27:36.478389,0.687,-0.335,10.129,11.600,38.900,29.100,-0.633,2.664,0.242
2019-06-09-14:27:36.498079,0.665,-0.342,10.093,11.500,38.700,27.800,-0.766,2.867,-0.125
2019-06-09-14:27:36.518497,0.668,-0.335,10.098,12.400,38.300,30.100,-1.023,2.812,0.078
2019-06-09-14:27:36.539249,0.675,-0.313,10.107,11.300,37.500,29.200,-0.867,3.094,0.258
2019-06-09-14:27:36.561156,0.682,-0.306,10.105,11.100,37.100,27.200,-0.852,2.695,-0.070
2019-06-09-14:27:36.580923,0.672,-0.330,10.112,11.800,38.900,29.700,-0.781,2.906,-0.078
2019-06-09-14:27:36.600482,0.677,-0.309,10.098,11.900,38.700,30.000,-0.836,2.992,0.109
2019-06-09-14:27:36.620022,0.670,-0.304,10.098,10.900,38.300,29.300,-1.172,2.727,0.062
2019-06-09-14:27:36.639668,0.644,-0.294,10.083,10.700,38.100,29.300,-1.219,2.922,0.258
2019-06-09-14:27:36.659151,0.648,-0.287,10.093,11.400,39.200,28.900,-0.711,2.703,0.016
2019-06-09-14:27:36.678667,0.651,-0.290,10.076,11.000,38.200,28.400,-0.836,2.930,0.125
2019-06-09-14:27:36.698116,0.660,-0.299,10.079,11.500,38.700,30.000,-0.953,2.984,0.156
2019-06-09-14:27:36.717640,0.636,-0.304,10.071,12.100,38.700,28.600,-0.422,2.797,0.109
2019-06-09-14:27:36.739046,0.663,-0.282,10.067,12.000,38.400,28.400,-0.586,2.844,-0.102
2019-06-09-14:27:36.758538,0.639,-0.287,10.074,11.000,39.100,28.100,-0.883,2.930,0.078
2019-06-09-14:27:36.778022,0.651,-0.282,10.083,10.700,39.200,27.000,-0.758,3.016,0.008
2019-06-09-14:27:36.797421,0.648,-0.285,10.064,12.500,38.700,29.400,-0.445,2.805,-0.125
2019-06-09-14:27:36.816807,0.627,-0.282,10.021,11.100,39.300,29.700,-1.016,2.844,0.055
2019-06-09-14:27:36.836214,0.641,-0.290,10.064,11.900,38.900,28.600,-0.781,2.734,-0.031
2019-06-09-14:27:36.855606,0.699,-0.278,10.076,11.300,38.900,30.100,-0.281,2.586,-0.023
2019-06-09-14:27:36.875138,0.692,-0.376,10.155,11.000,39.300,29.000,-0.609,2.812,0.289
2019-06-09-14:27:36.894574,0.694,-0.380,10.141,11.100,38.900,30.500,-0.539,2.727,0.398
2019-06-09-14:27:36.914441,0.696,-0.373,10.174,11.600,38.800,28.600,-0.875,2.625,0.219
2019-06-09-14:27:36.934177,0.703,-0.378,10.136,11.600,38.600,29.600,-0.930,2.750,0.148
2019-06-09-14:27:36.953752,0.692,-0.378,10.165,10.800,39.200,29.000,-0.617,2.758,0.156
2019-06-09-14:27:36.973309,0.708,-0.392,10.143,11.300,38.200,27.900,-0.586,2.914,-0.227
2019-06-09-14:27:36.992892,0.696,-0.373,10.148,11.000,38.600,28.700,-0.797,3.055,0.188
2019-06-09-14:27:37.012415,0.692,-0.366,10.153,10.500,39.200,29.600,-0.953,2.906,0.062
2019-06-09-14:27:37.031876,0.677,-0.371,10.155,10.900,38.700,28.200,-1.000,2.750,0.195
2019-06-09-14:27:37.051378,0.701,-0.368,10.136,11.500,38.300,28.300,-0.984,2.883,-0.094
2019-06-09-14:27:37.070811,0.701,-0.357,10.146,11.000,39.200,29.500,-1.438,2.797,0.312
2019-06-09-14:27:37.090300,0.694,-0.371,10.143,12.200,38.900,26.900,-0.891,2.656,-0.008
2019-06-09-14:27:37.109738,0.677,-0.354,10.126,11.800,38.700,28.500,-0.906,2.758,0.062
2019-06-09-14:27:37.129217,0.699,-0.354,10.098,11.600,38.800,28.900,-0.258,2.766,-0.211
2019-06-09-14:27:37.148630,0.677,-0.328,10.131,12.300,37.800,27.300,-0.836,2.836,0.133
2019-06-09-14:27:37.168039,0.689,-0.328,10.117,12.100,37.500,29.100,-0.484,2.906,0.039
2019-06-09-14:27:37.187503,0.687,-0.333,10.105,11.900,38.800,30.500,-0.516,3.016,-0.180
2019-06-09-14:27:37.206955,0.660,-0.321,10.126,11.000,38.900,27.900,-0.945,2.703,0.086
2019-06-09-14:27:37.226382,0.689,-0.309,10.093,11.500,38.400,29.200,-0.609,2.758,0.156
2019-06-09-14:27:37.245899,0.672,-0.330,10.098,11.300,38.700,28.300,-0.812,2.703,0.258
2019-06-09-14:27:37.265317,0.668,-0.342,10.114,11.400,40.000,28.300,-0.852,2.875,0.109
2019-06-09-14:27:37.284713,0.672,-0.340,10.129,11.400,38.400,27.900,-0.969,2.797,0.258
2019-06-09-14:27:37.304366,0.687,-0.361,10.102,11.900,38.700,29.400,-0.469,2.836,0.133
2019-06-09-14:27:37.323859,0.684,-0.342,10.138,12.500,39.500,28.800,-0.547,2.930,0.266
2019-06-09-14:27:37.343548,0.689,-0.361,10.141,11.700,39.600,29.700,-0.828,2.734,0.211
2019-06-09-14:27:37.363048,0.701,-0.368,10.150,12.400,39.200,27.500,-0.984,2.797,-0.008
2019-06-09-14:27:37.382577,0.687,-0.376,10.167,12.000,39.900,29.000,-1.023,2.648,0.055
2019-06-09-14:27:37.402133,0.687,-0.371,10.150,11.500,39.300,27.900,-0.586,2.922,0.078
2019-06-09-14:27:37.421660,0.699,-0.359,10.134,12.200,39.000,30.400,-0.875,2.844,0.328
2019-06-09-14:27:37.441264,0.692,-0.385,10.153,11.100,39.600,28.900,-0.305,2.734,0.086
2019-06-09-14:27:37.460768,0.682,-0.376,10.155,12.300,39.800,29.800,-0.516,3.016,0.148
2019-06-09-14:27:37.480255,0.699,-0.378,10.146,10.900,38.800,29.000,-0.594,2.969,0.039
2019-06-09-14:27:37.499785,0.689,-0.397,10.167,10.800,39.100,30.000,-0.812,3.031,0.367
