Time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Magnetometer X (uTesla), Magnetometer Y (uTesla)  , Magnetometer Z (uTesla),Gyroscope X (radians/s), Gyroscope Y (radians/s), Gyroscope Z (radians/s)
2019-05-26-01:43:22.272841,0.292,-0.139,10.119,-6.900,-15.200,-7.100,-0.938,2.781,-0.008
2019-05-26-01:43:22.378592,0.290,-0.151,10.134,-7.900,-14.400,-7.600,-0.945,2.883,-0.281
2019-05-26-01:43:22.484260,0.275,-0.136,10.134,-6.400,-15.000,-6.200,-1.141,2.680,-0.031
2019-05-26-01:43:22.593640,0.280,-0.146,10.136,-7.200,-15.000,-5.400,-1.305,2.758,-0.117
2019-05-26-01:43:22.703340,0.285,-0.144,10.126,-7.900,-14.700,-7.000,-1.312,2.680,-0.211
2019-05-26-01:43:22.813172,0.290,-0.153,10.141,-7.800,-15.200,-6.700,-1.047,2.719,-0.273
2019-05-26-01:43:22.923058,0.287,-0.144,10.114,-7.300,-14.600,-6.400,-1.023,2.594,-0.031
2019-05-26-01:43:23.032906,0.290,-0.148,10.124,-7.100,-14.400,-6.800,-0.797,2.672,-0.164
2019-05-26-01:43:23.142518,0.285,-0.151,10.124,-7.400,-14.200,-5.800,-0.797,2.586,-0.055
2019-05-26-01:43:23.252184,0.299,-0.139,10.134,-7.700,-14.500,-7.400,-0.961,2.648,-0.117
2019-05-26-01:43:23.361706,0.287,-0.153,10.131,-7.500,-14.300,-7.500,-1.258,2.508,0.008
2019-05-26-01:43:23.471316,0.292,-0.132,10.119,-7.600,-13.600,-7.100,-1.070,2.594,-0.117
2019-05-26-01:43:23.581073,0.282,-0.153,10.131,-6.900,-13.500,-8.100,-0.797,2.953,-0.281
2019-05-26-01:43:23.690669,0.282,-0.132,10.134,-6.700,-14.200,-7.200,-0.703,2.711,-0.094
2019-05-26-01:43:23.800595,0.280,-0.165,10.126,-7.100,-12.900,-5.100,-1.227,2.453,-0.125
