20190523-104339,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Magnetometer X (uTesla), Magnetometer Y (uTesla)  , Magnetometer Z (uTesla),Gyroscope X (radians/s), Gyroscope Y (radians/s), Gyroscope Z (radians/s)2019-05-23-08:43:39.498159,0.316,-0.290,10.122,0.900,-32.600,-20.700,-0.953,2.883,0.125
2019-05-23-08:43:44.535086,0.313,-0.275,10.112,-0.800,-32.200,-19.800,-0.828,2.875,0.016
2019-05-23-08:43:44.649773,0.328,-0.268,10.107,0.200,-31.100,-20.300,-1.102,2.773,0.039
2019-05-23-08:43:44.759341,0.325,-0.282,10.098,0.600,-31.800,-21.700,-1.023,2.594,-0.125
2019-05-23-08:43:44.869285,0.316,-0.285,10.107,0.100,-32.300,-20.600,-0.469,2.906,0.062
2019-05-23-08:43:44.978975,0.321,-0.287,10.119,0.600,-32.300,-21.100,-1.016,2.625,0.078
2019-05-23-08:43:45.088500,0.325,-0.282,10.102,-0.300,-32.100,-21.500,-0.562,2.812,0.062
2019-05-23-08:43:45.197995,0.321,-0.282,10.100,0.700,-31.500,-20.900,-0.773,2.953,-0.008
2019-05-23-08:43:45.307888,0.325,-0.290,10.124,1.500,-31.400,-22.500,-0.781,2.547,-0.234
2019-05-23-08:43:45.417422,0.352,-0.280,10.122,-1.100,-33.100,-20.700,-0.828,2.797,0.211
2019-05-23-08:43:45.526916,0.335,-0.282,10.110,0.400,-32.700,-21.600,-0.867,2.766,-0.078
2019-05-23-08:43:45.636339,0.313,-0.285,10.112,-0.700,-32.500,-20.100,-0.938,2.805,-0.227
2019-05-23-08:43:45.745852,0.342,-0.280,10.114,1.200,-32.200,-21.100,-0.781,2.930,-0.094
2019-05-23-08:43:45.855403,0.328,-0.287,10.131,-0.800,-32.700,-21.200,-1.211,2.672,-0.023
2019-05-23-08:43:45.964953,0.316,-0.294,10.124,0.600,-32.700,-20.200,-1.047,2.672,-0.047
2019-05-23-08:43:46.074795,0.316,-0.273,10.107,1.000,-32.100,-21.600,-1.383,2.750,0.312
2019-05-23-08:43:46.184362,0.335,-0.273,10.100,0.700,-32.200,-21.300,-0.945,2.977,-0.102
2019-05-23-08:43:46.294026,0.323,-0.287,10.119,0.000,-32.100,-20.900,-1.102,2.789,0.016
2019-05-23-08:43:46.403552,0.328,-0.282,10.110,0.300,-31.100,-21.400,-0.891,2.719,-0.188
2019-05-23-08:43:46.513449,0.328,-0.282,10.119,-0.400,-32.500,-20.800,-1.000,2.492,0.133
2019-05-23-08:43:46.622968,0.316,-0.290,10.112,0.700,-32.400,-21.000,-0.852,2.766,0.008
2019-05-23-08:43:46.732486,0.328,-0.287,10.114,0.000,-31.100,-19.700,-0.859,2.797,0.133
2019-05-23-08:43:46.842072,0.328,-0.301,10.117,0.500,-31.900,-19.800,-0.750,2.758,-0.008
2019-05-23-08:43:46.951625,0.325,-0.290,10.134,-0.600,-32.300,-20.500,-1.008,2.742,-0.188
2019-05-23-08:43:47.061053,0.313,-0.280,10.124,-0.100,-31.800,-20.800,-0.859,2.906,0.133
2019-05-23-08:43:47.170489,0.335,-0.285,10.117,0.700,-31.300,-21.100,-0.859,2.383,0.078
2019-05-23-08:43:47.280301,0.352,-0.268,10.126,-0.300,-31.800,-20.500,-0.477,2.719,0.008
2019-05-23-08:43:47.389861,0.311,-0.285,10.086,1.500,-32.100,-21.400,-0.828,2.625,-0.125
2019-05-23-08:43:47.499325,0.335,-0.292,10.107,0.100,-32.400,-18.700,-0.852,2.664,0.109
2019-05-23-08:43:47.608878,0.325,-0.292,10.129,0.900,-32.400,-21.300,-0.844,2.695,-0.281
2019-05-23-08:43:47.718832,0.318,-0.280,10.100,-1.100,-31.700,-19.600,-0.805,2.641,0.102
2019-05-23-08:43:47.828522,0.318,-0.297,10.114,1.700,-30.800,-21.300,-0.664,2.797,0.195
2019-05-23-08:43:47.938018,0.325,-0.290,10.119,0.700,-31.400,-20.200,-0.859,2.727,0.055
2019-05-23-08:43:48.047434,0.337,-0.280,10.129,0.100,-32.000,-21.700,-0.469,2.922,0.031
2019-05-23-08:43:48.156933,0.328,-0.290,10.117,-0.100,-31.500,-20.400,-0.969,2.859,0.086
